x,rho,E,F,T
0.001,1,-0.533393,-0.465464,0.056234
0.003,1,-0.530567,-0.468521,0.056234
0.005,1,-0.526931,-0.470624,0.056234
0.007,1,-0.522363,-0.471897,0.056234
0.009,1,-0.516871,-0.472338,0.056234
0.011,1,-0.510467,-0.471945,0.056234
0.013,1,-0.50316,-0.47072,0.056234
0.015,1,-0.494965,-0.468665,0.056234
0.017,1,-0.485895,-0.465784,0.056234
0.019,1,-0.475967,-0.462082,0.056234
0.021,1,-0.465199,-0.457565,0.056234
0.023,1,-0.453609,-0.452242,0.056234
0.025,1,-0.441218,-0.446122,0.056234
0.027,1,-0.428048,-0.439217,0.056234
0.029,1,-0.414123,-0.431538,0.056234
0.031,1,-0.399466,-0.423098,0.056234
0.033,1,-0.384105,-0.413914,0.056234
0.035,1,-0.368067,-0.404002,0.056234
0.037,1,-0.351379,-0.393378,0.056234
0.039,1,-0.334071,-0.382062,0.056234
0.041,1,-0.316175,-0.370074,0.056234
0.043,1,-0.297721,-0.357435,0.056234
0.045,1,-0.278743,-0.344168,0.056234
0.047,1,-0.259273,-0.330296,0.056234
0.049,1,-0.239347,-0.315843,0.056234
0.051,1,-0.219,-0.300835,0.056234
0.053,1,-0.198268,-0.2853,0.056234
0.055,1,-0.177187,-0.269263,0.056234
0.057,1,-0.155794,-0.252754,0.056234
0.059,1,-0.134129,-0.235802,0.056234
0.061,1,-0.112228,-0.218437,0.056234
0.063,1,-0.0901304,-0.200689,0.056234
0.065,1,-0.0678758,-0.18259,0.056234
0.067,1,-0.0455033,-0.164172,0.056234
0.069,1,-0.0230523,-0.145467,0.056234
0.071,1,-0.000562691,-0.126509,0.056234
0.073,1,0.0219259,-0.107331,0.056234
0.075,1,0.0443737,-0.0879659,0.056234
0.077,1,0.0667411,-0.0684493,0.056234
0.079,1,0.0889884,-0.0488152,0.056234
0.081,1,0.111077,-0.0290982,0.056234
0.083,1,0.132966,-0.00933303,0.056234
0.085,1,0.154619,0.0104453,0.056234
0.087,1,0.175997,0.0302019,0.056234
0.089,1,0.197061,0.049902,0.056234
0.091,1,0.217776,0.0695108,0.056234
0.093,1,0.238103,0.0889936,0.056234
0.095,1,0.258008,0.108316,0.056234
0.097,1,0.277456,0.127444,0.056234
0.099,1,0.296411,0.146345,0.056234
0.101,1,0.31484,0.164984,0.056234
0.103,1,0.332712,0.183328,0.056234
0.105,1,0.349994,0.201346,0.056234
0.107,1,0.366656,0.219006,0.056234
0.109,1,0.382668,0.236276,0.056234
0.111,1,0.398003,0.253127,0.056234
0.113,1,0.412633,0.269528,0.056234
0.115,1,0.426533,0.285451,0.056234
