x,rho,E,F,T
0.001,1,-0.294702,-0.44548,0.056234
0.003,1,-0.306261,-0.461412,0.056234
0.005,1,-0.317261,-0.476545,0.056234
0.007,1,-0.327611,-0.490921,0.056234
0.009,1,-0.337296,-0.504514,0.056234
0.011,1,-0.346298,-0.517299,0.056234
0.013,1,-0.354605,-0.529253,0.056234
0.015,1,-0.362201,-0.540352,0.056234
0.017,1,-0.369074,-0.550578,0.056234
0.019,1,-0.375215,-0.55991,0.056234
0.021,1,-0.380612,-0.568332,0.056234
0.023,1,-0.385257,-0.575827,0.056234
0.025,1,-0.389144,-0.582382,0.056234
0.027,1,-0.392266,-0.587984,0.056234
0.029,1,-0.394619,-0.592623,0.056234
0.031,1,-0.396199,-0.596289,0.056234
0.033,1,-0.397006,-0.598975,0.056234
0.035,1,-0.397039,-0.600676,0.056234
0.037,1,-0.396297,-0.601387,0.056234
0.039,1,-0.394785,-0.601108,0.056234
0.041,1,-0.392505,-0.599837,0.056234
0.043,1,-0.389463,-0.597577,0.056234
0.045,1,-0.385664,-0.59433,0.056234
0.047,1,-0.381117,-0.590101,0.056234
0.049,1,-0.37583,-0.584897,0.056234
0.051,1,-0.369813,-0.578728,0.056234
0.053,1,-0.363079,-0.571602,0.056234
0.055,1,-0.355639,-0.563532,0.056234
0.057,1,-0.347508,-0.554531,0.056234
0.059,1,-0.338701,-0.544616,0.056234
0.061,1,-0.329234,-0.533802,0.056234
0.063,1,-0.319126,-0.522107,0.056234
0.065,1,-0.308394,-0.509553,0.056234
0.067,1,-0.297058,-0.496161,0.056234
0.069,1,-0.28514,-0.481953,0.056234
0.071,1,-0.272661,-0.466955,0.056234
0.073,1,-0.259644,-0.451191,0.056234
0.075,1,-0.246112,-0.434689,0.056234
0.077,1,-0.232091,-0.417478,0.056234
0.079,1,-0.217607,-0.399587,0.056234
0.081,1,-0.202684,-0.381048,0.056234
0.083,1,-0.187352,-0.361892,0.056234
0.085,1,-0.171637,-0.342152,0.056234
0.087,1,-0.155568,-0.321863,0.056234
0.089,1,-0.139175,-0.301059,0.056234
0.091,1,-0.122487,-0.279777,0.056234
0.093,1,-0.105535,-0.258053,0.056234
0.095,1,-0.0883491,-0.235924,0.056234
0.097,1,-0.0709617,-0.21343,0.056234
0.099,1,-0.0534041,-0.190608,0.056234
0.101,1,-0.0357082,-0.167499,0.056234
0.103,1,-0.0179065,-0.144141,0.056234
0.105,1,-3.15045e-05,-0.120575,0.056234
0.107,1,0.0178841,-0.0968422,0.056234
0.109,1,0.0358074,-0.0729822,0.056234
0.111,1,0.0537057,-0.0490365,0.056234
0.113,1,0.0715459,-0.025046,0.056234
0.115,1,0.0892954,-0.00105187,0.056234
0.117,1,0.106922,0.0229048,0.056234
0.119,1,0.124392,0.0467831,0.056234
0.121,1,0.141674,0.0705422,0.056234
0.123,1,0.158736,0.0941415,0.056234
0.125,1,0.175547,0.117541,0.056234
0.127,1,0.192076,0.1407,0.056234
0.129,1,0.208292,0.16358,0.056234
0.131,1,0.224164,0.186141,0.056234
0.133,1,0.239665,0.208346,0.056234
0.135,1,0.254764,0.230155,0.056234
0.137,1,0.269435,0.251533,0.056234
0.139,1,0.283649,0.272442,0.056234
0.141,1,0.297381,0.292848,0.056234
0.143,1,0.310606,0.312715,0.056234
0.145,1,0.323298,0.332009,0.056234
0.147,1,0.335435,0.350698,0.056234
0.149,1,0.346994,0.368749,0.056234
0.151,1,0.357953,0.386132,0.056234
0.153,1,0.368293,0.402818,0.056234
0.155,1,0.377994,0.418777,0.056234
0.157,1,0.387039,0.433983,0.056234
0.159,1,0.39541,0.448409,0.056234
0.161,1,0.403093,0.462031,0.056234
0.163,1,0.410073,0.474825,0.056234
0.165,1,0.416337,0.486771,0.056234
0.167,1,0.421875,0.497846,0.056234
0.169,1,0.426675,0.508032,0.056234
0.171,1,0.430729,0.517313,0.056234
0.173,1,0.434029,0.525671,0.056234
0.175,1,0.436569,0.533093,0.056234
0.177,1,0.438345,0.539567,0.056234
0.179,1,0.439353,0.54508,0.056234
0.181,1,0.439591,0.549624,0.056234
0.183,1,0.439059,0.553192,0.056234
0.185,1,0.437758,0.555776,0.056234
0.187,1,0.435689,0.557373,0.056234
0.189,1,0.432856,0.557981,0.056234
0.191,1,0.429264,0.557599,0.056234
0.193,1,0.42492,0.556227,0.056234
0.195,1,0.41983,0.553869,0.056234
0.197,1,0.414005,0.550528,0.056234
0.199,1,0.407454,0.546211,0.056234
0.201,1,0.400188,0.540926,0.056234
0.203,1,0.392222,0.534683,0.056234
0.205,1,0.383567,0.527492,0.056234
0.207,1,0.374241,0.519367,0.056234
0.209,1,0.364259,0.510322,0.056234
0.211,1,0.353639,0.500373,0.056234
0.213,1,0.3424,0.489538,0.056234
0.215,1,0.330562,0.477837,0.056234
0.217,1,0.318145,0.46529,0.056234
0.219,1,0.305171,0.451919,0.056234
0.221,1,0.291664,0.437749,0.056234
0.223,1,0.277647,0.422805,0.056234
0.225,1,0.263145,0.407113,0.056234
0.227,1,0.248184,0.390701,0.056234
0.229,1,0.232789,0.373598,0.056234
0.231,1,0.216989,0.355834,0.056234
0.233,1,0.200811,0.337442,0.056234
0.235,1,0.184284,0.318453,0.056234
0.237,1,0.167436,0.298901,0.056234
0.239,1,0.150299,0.278822,0.056234
0.241,1,0.132901,0.25825,0.056234
0.243,1,0.115274,0.237222,0.056234
0.245,1,0.0974481,0.215775,0.056234
0.247,1,0.0794557,0.193948,0.056234
0.249,1,0.0613283,0.171778,0.056234
0.251,1,0.0430979,0.149305,0.056234
0.253,1,0.0247966,0.12657,0.056234
0.255,1,0.00645666,0.103611,0.056234
0.257,1,-0.0118895,0.0804704,0.056234
0.259,1,-0.0302095,0.0571882,0.056234
0.261,1,-0.048471,0.0338058,0.056234
0.263,1,-0.0666419,0.0103646,0.056234
0.265,1,-0.0846901,-0.013094,0.056234
