x,rho,E,F,T
0.001,1,-0.3017,-0.156371,0.056234
0.003,1,-0.28282,-0.137513,0.056234
0.005,1,-0.263509,-0.118348,0.056234
0.007,1,-0.243733,-0.0989786,0.056234
0.009,1,-0.223525,-0.0794408,0.056234
0.011,1,-0.202922,-0.0597686,0.056234
0.013,1,-0.18196,-0.0399966,0.056234
0.015,1,-0.160676,-0.0201598,0.056234
0.017,1,-0.139107,-0.00029306,0.056234
0.019,1,-0.117293,0.0195685,0.056234
0.021,1,-0.0952713,0.0393898,0.056234
0.023,1,-0.0730813,0.059136,0.056234
0.025,1,-0.0507621,0.0787722,0.056234
0.027,1,-0.0283533,0.0982639,0.056234
0.029,1,-0.00589443,0.117577,0.056234
0.031,1,0.0165747,0.136676,0.056234
0.033,1,0.0390144,0.155529,0.056234
0.035,1,0.061385,0.174103,0.056234
0.037,1,0.0836469,0.192363,0.056234
0.039,1,0.105761,0.210279,0.056234
0.041,1,0.127688,0.227819,0.056234
0.043,1,0.149389,0.244951,0.056234
0.045,1,0.170826,0.261646,0.056234
0.047,1,0.191961,0.277875,0.056234
0.049,1,0.212756,0.293607,0.056234
0.051,1,0.233176,0.308817,0.056234
0.053,1,0.253183,0.323478,0.056234
0.055,1,0.272743,0.337562,0.056234
0.057,1,0.291821,0.351046,0.056234
0.059,1,0.310384,0.363906,0.056234
0.061,1,0.328398,0.37612,0.056234
0.063,1,0.345832,0.387666,0.056234
0.065,1,0.362655,0.398523,0.056234
0.067,1,0.378838,0.408672,0.056234
0.069,1,0.394351,0.418097,0.056234
0.071,1,0.409169,0.42678,0.056234
0.073,1,0.423263,0.434705,0.056234
0.075,1,0.43661,0.441861,0.056234
0.077,1,0.449187,0.448232,0.056234
0.079,1,0.46097,0.45381,0.056234
0.081,1,0.47194,0.458583,0.056234
0.083,1,0.482076,0.462544,0.056234
0.085,1,0.491362,0.465685,0.056234
0.087,1,0.499781,0.468002,0.056234
0.089,1,0.507317,0.46949,0.056234
0.091,1,0.513958,0.470147,0.056234
0.093,1,0.519693,0.469972,0.056234
0.095,1,0.52451,0.468965,0.056234
0.097,1,0.528403,0.467129,0.056234
0.099,1,0.531363,0.464466,0.056234
0.101,1,0.533385,0.460982,0.056234
0.103,1,0.534467,0.456682,0.056234
0.105,1,0.534607,0.451575,0.056234
0.107,1,0.533804,0.44567,0.056234
0.109,1,0.532059,0.438977,0.056234
0.111,1,0.529377,0.431508,0.056234
0.113,1,0.525761,0.423276,0.056234
0.115,1,0.521218,0.414297,0.056234
0.117,1,0.515757,0.404587,0.056234
0.119,1,0.509387,0.394161,0.056234
0.121,1,0.502119,0.38304,0.056234
0.123,1,0.493966,0.371243,0.056234
0.125,1,0.484943,0.35879,0.056234
0.127,1,0.475066,0.345705,0.056234
0.129,1,0.464353,0.332009,0.056234
0.131,1,0.452821,0.317728,0.056234
0.133,1,0.440493,0.302887,0.056234
0.135,1,0.427388,0.287512,0.056234
0.137,1,0.413532,0.271631,0.056234
0.139,1,0.398948,0.255271,0.056234
0.141,1,0.383662,0.238462,0.056234
0.143,1,0.367701,0.221233,0.056234
0.145,1,0.351094,0.203615,0.056234
0.147,1,0.333869,0.185639,0.056234
0.149,1,0.316058,0.167337,0.056234
0.151,1,0.297691,0.148742,0.056234
0.153,1,0.278801,0.129885,0.056234
0.155,1,0.259422,0.110802,0.056234
0.157,1,0.239588,0.0915247,0.056234
0.159,1,0.219334,0.0720882,0.056234
0.161,1,0.198695,0.0525266,0.056234
0.163,1,0.177709,0.0328747,0.056234
0.165,1,0.156411,0.013167,0.056234
0.167,1,0.134841,-0.00656144,0.056234
0.169,1,0.113035,-0.0262758,0.056234
0.171,1,0.0910334,-0.0459413,0.056234
0.173,1,0.0688736,-0.065523,0.056234
0.175,1,0.0465952,-0.0849865,0.056234
0.177,1,0.0242375,-0.104297,0.056234
0.179,1,0.00184,-0.123421,0.056234
0.181,1,-0.0205578,-0.142324,0.056234
0.183,1,-0.0429162,-0.160974,0.056234
0.185,1,-0.065196,-0.179336,0.056234
0.187,1,-0.0873578,-0.197379,0.056234
0.189,1,-0.109362,-0.215071,0.056234
0.191,1,-0.131171,-0.23238,0.056234
0.193,1,-0.152745,-0.249276,0.056234
0.195,1,-0.174047,-0.265729,0.056234
0.197,1,-0.195039,-0.281711,0.056234
0.199,1,-0.215684,-0.297193,0.056234
