x,rho,E,F,T
0.001,1,-0.325185,-0.338363,0.056234
0.003,1,-0.308304,-0.323225,0.056234
0.005,1,-0.290875,-0.307524,0.056234
0.007,1,-0.272848,-0.291367,0.056234
0.009,1,-0.254252,-0.274788,0.056234
0.011,1,-0.235116,-0.257819,0.056234
0.013,1,-0.215471,-0.240493,0.056234
0.015,1,-0.19535,-0.222844,0.056234
0.017,1,-0.174785,-0.204904,0.056234
0.019,1,-0.15381,-0.186707,0.056234
0.021,1,-0.132461,-0.168289,0.056234
0.023,1,-0.110775,-0.149682,0.056234
0.025,1,-0.0887872,-0.130921,0.056234
0.027,1,-0.066537,-0.11204,0.056234
0.029,1,-0.0440625,-0.0930731,0.056234
0.031,1,-0.021403,-0.0740543,0.056234
0.033,1,0.00140161,-0.0550173,0.056234
0.035,1,0.0243112,-0.0359959,0.056234
0.037,1,0.0472849,-0.0170234,0.056234
0.039,1,0.0702821,0.00186704,0.056234
0.041,1,0.0932614,0.0206425,0.056234
0.043,1,0.116182,0.0392706,0.056234
0.045,1,0.139002,0.0577191,0.056234
0.047,1,0.161681,0.0759563,0.056234
0.049,1,0.184177,0.093951,0.056234
0.051,1,0.206451,0.111672,0.056234
0.053,1,0.228461,0.12909,0.056234
0.055,1,0.250167,0.146175,0.056234
0.057,1,0.271531,0.162898,0.056234
0.059,1,0.292514,0.17923,0.056234
0.061,1,0.313077,0.195144,0.056234
0.063,1,0.333182,0.210613,0.056234
0.065,1,0.352794,0.225611,0.056234
0.067,1,0.371876,0.240113,0.056234
0.069,1,0.390394,0.254094,0.056234
0.071,1,0.408313,0.267532,0.056234
0.073,1,0.425602,0.280403,0.056234
0.075,1,0.442228,0.292685,0.056234
0.077,1,0.458161,0.304359,0.056234
0.079,1,0.473372,0.315406,0.056234
0.081,1,0.487832,0.325806,0.056234
0.083,1,0.501516,0.335543,0.056234
0.085,1,0.514399,0.3446,0.056234
0.087,1,0.526456,0.352963,0.056234
0.089,1,0.537665,0.360619,0.056234
0.091,1,0.548005,0.367554,0.056234
0.093,1,0.557458,0.373758,0.056234
0.095,1,0.566006,0.37922,0.056234
0.097,1,0.573633,0.383933,0.056234
0.099,1,0.580324,0.387889,0.056234
0.101,1,0.586067,0.391082,0.056234
0.103,1,0.59085,0.393508,0.056234
0.105,1,0.594665,0.395163,0.056234
0.107,1,0.597505,0.396045,0.056234
0.109,1,0.599362,0.396154,0.056234
0.111,1,0.600234,0.395491,0.056234
0.113,1,0.600117,0.394057,0.056234
0.115,1,0.599012,0.391857,0.056234
0.117,1,0.596919,0.388895,0.056234
0.119,1,0.593842,0.385178,0.056234
0.121,1,0.589785,0.380712,0.056234
0.123,1,0.584755,0.375507,0.056234
0.125,1,0.57876,0.369573,0.056234
0.127,1,0.57181,0.362921,0.056234
0.129,1,0.563916,0.355563,0.056234
0.131,1,0.555092,0.347515,0.056234
0.133,1,0.545352,0.33879,0.056234
0.135,1,0.534714,0.329405,0.056234
0.137,1,0.523195,0.319378,0.056234
0.139,1,0.510815,0.308726,0.056234
0.141,1,0.497596,0.29747,0.056234
0.143,1,0.48356,0.285631,0.056234
0.145,1,0.46873,0.273229,0.056234
0.147,1,0.453134,0.260289,0.056234
0.149,1,0.436797,0.246833,0.056234
0.151,1,0.419748,0.232885,0.056234
0.153,1,0.402017,0.218473,0.056234
0.155,1,0.383633,0.203621,0.056234
0.157,1,0.364629,0.188357,0.056234
0.159,1,0.345038,0.172708,0.056234
0.161,1,0.324893,0.156704,0.056234
0.163,1,0.304229,0.140373,0.056234
0.165,1,0.283082,0.123745,0.056234
0.167,1,0.261489,0.10685,0.056234
0.169,1,0.239487,0.0897197,0.056234
0.171,1,0.217113,0.0723845,0.056234
0.173,1,0.194407,0.0548762,0.056234
0.175,1,0.171407,0.0372269,0.056234
0.177,1,0.148153,0.0194686,0.056234
0.179,1,0.124686,0.00163402,0.056234
0.181,1,0.101045,-0.0162444,0.056234
0.183,1,0.0772711,-0.0341338,0.056234
0.185,1,0.0534052,-0.0520015,0.056234
0.187,1,0.0294881,-0.0698146,0.056234
0.189,1,0.00556086,-0.0875404,0.056234
0.191,1,-0.0183356,-0.105146,0.056234
0.193,1,-0.0421603,-0.1226,0.056234
0.195,1,-0.0658726,-0.139869,0.056234
0.197,1,-0.0894319,-0.156922,0.056234
