x,rho,E,F,T
0.001,1,-0.283216,-0.135995,0.056234
0.003,1,-0.264056,-0.116656,0.056234
0.005,1,-0.244499,-0.0970464,0.056234
0.007,1,-0.224512,-0.0772687,0.056234
0.009,1,-0.20413,-0.0573574,0.056234
0.011,1,-0.18339,-0.037348,0.056234
0.013,1,-0.162329,-0.0172756,0.056234
0.015,1,-0.140983,0.00282422,0.056234
0.017,1,-0.11939,0.0229159,0.056234
0.019,1,-0.0975885,0.0429638,0.056234
0.021,1,-0.075617,0.0629327,0.056234
0.023,1,-0.0535141,0.0827873,0.056234
0.025,1,-0.031319,0.102492,0.056234
0.027,1,-0.00907078,0.122013,0.056234
0.029,1,0.0131913,0.141315,0.056234
0.031,1,0.035428,0.160364,0.056234
0.033,1,0.0575999,0.179127,0.056234
0.035,1,0.0796681,0.19757,0.056234
0.037,1,0.101594,0.215661,0.056234
0.039,1,0.123338,0.233367,0.056234
0.041,1,0.144862,0.250659,0.056234
0.043,1,0.166128,0.267504,0.056234
0.045,1,0.1871,0.283874,0.056234
0.047,1,0.207739,0.29974,0.056234
0.049,1,0.228009,0.315072,0.056234
0.051,1,0.247875,0.329846,0.056234
0.053,1,0.267302,0.344034,0.056234
0.055,1,0.286255,0.357611,0.056234
0.057,1,0.304701,0.370554,0.056234
0.059,1,0.322608,0.38284,0.056234
0.061,1,0.339944,0.394447,0.056234
0.063,1,0.356678,0.405355,0.056234
0.065,1,0.372781,0.415544,0.056234
0.067,1,0.388225,0.424997,0.056234
0.069,1,0.402982,0.433696,0.056234
0.071,1,0.417027,0.441628,0.056234
0.073,1,0.430335,0.448777,0.056234
0.075,1,0.442882,0.455132,0.056234
0.077,1,0.454646,0.460681,0.056234
0.079,1,0.465607,0.465414,0.056234
0.081,1,0.475745,0.469324,0.056234
0.083,1,0.485043,0.472403,0.056234
0.085,1,0.493484,0.474646,0.056234
0.087,1,0.501054,0.476049,0.056234
0.089,1,0.507739,0.47661,0.056234
0.091,1,0.513527,0.476328,0.056234
0.093,1,0.518409,0.475204,0.056234
0.095,1,0.522376,0.473239,0.056234
0.097,1,0.525421,0.470438,0.056234
0.099,1,0.527538,0.466805,0.056234
0.101,1,0.528725,0.462347,0.056234
0.103,1,0.528979,0.457072,0.056234
0.105,1,0.528299,0.450989,0.056234
0.107,1,0.526688,0.44411,0.056234
0.109,1,0.524147,0.436446,0.056234
0.111,1,0.520683,0.428011,0.056234
0.113,1,0.5163,0.418821,0.056234
0.115,1,0.511006,0.40889,0.056234
0.117,1,0.504812,0.398238,0.056234
0.119,1,0.497728,0.386884,0.056234
0.121,1,0.489767,0.374846,0.056234
0.123,1,0.480943,0.362147,0.056234
0.125,1,0.471271,0.348809,0.056234
0.127,1,0.460769,0.334856,0.056234
0.129,1,0.449455,0.320313,0.056234
0.131,1,0.43735,0.305205,0.056234
0.133,1,0.424475,0.28956,0.056234
0.135,1,0.410852,0.273404,0.056234
0.137,1,0.396506,0.256767,0.056234
0.139,1,0.381462,0.239678,0.056234
0.141,1,0.365748,0.222167,0.056234
0.143,1,0.349389,0.204265,0.056234
0.145,1,0.332417,0.186005,0.056234
0.147,1,0.31486,0.167417,0.056234
0.149,1,0.29675,0.148537,0.056234
0.151,1,0.278118,0.129395,0.056234
0.153,1,0.258998,0.110028,0.056234
0.155,1,0.239423,0.0904679,0.056234
0.157,1,0.219429,0.0707505,0.056234
0.159,1,0.19905,0.0509104,0.056234
0.161,1,0.178322,0.0309827,0.056234
0.163,1,0.157282,0.0110027,0.056234
0.165,1,0.135968,-0.00899439,0.056234
0.167,1,0.114416,-0.0289731,0.056234
0.169,1,0.0926647,-0.0488983,0.056234
0.171,1,0.070753,-0.0687345,0.056234
0.173,1,0.0487193,-0.0884468,0.056234
0.175,1,0.0266024,-0.108,0.056234
0.177,1,0.00444141,-0.127361,0.056234
0.179,1,-0.0177246,-0.146494,0.056234
0.181,1,-0.0398564,-0.165365,0.056234
0.183,1,-0.061915,-0.183942,0.056234
0.185,1,-0.0838615,-0.202192,0.056234
0.187,1,-0.105657,-0.220081,0.056234
0.189,1,-0.127264,-0.23758,0.056234
0.191,1,-0.148643,-0.254657,0.056234
0.193,1,-0.169757,-0.271281,0.056234
0.195,1,-0.190568,-0.287424,0.056234
0.197,1,-0.211041,-0.303057,0.056234
0.199,1,-0.231138,-0.318152,0.056234
0.201,1,-0.250825,-0.332683,0.056234
0.203,1,-0.270067,-0.346624,0.056234
0.205,1,-0.288829,-0.359951,0.056234
0.207,1,-0.30708,-0.37264,0.056234
0.209,1,-0.324785,-0.384669,0.056234
0.211,1,-0.341916,-0.396017,0.056234
0.213,1,-0.358441,-0.406663,0.056234
0.215,1,-0.374331,-0.416589,0.056234
0.217,1,-0.389558,-0.425778,0.056234
0.219,1,-0.404095,-0.434213,0.056234
0.221,1,-0.417918,-0.44188,0.056234
0.223,1,-0.431001,-0.448764,0.056234
0.225,1,-0.443321,-0.454855,0.056234
0.227,1,-0.454857,-0.460141,0.056234
0.229,1,-0.465589,-0.464614,0.056234
0.231,1,-0.475498,-0.468264,0.056234
0.233,1,-0.484566,-0.471087,0.056234
0.235,1,-0.492778,-0.473077,0.056234
0.237,1,-0.500118,-0.474231,0.056234
0.239,1,-0.506575,-0.474546,0.056234
0.241,1,-0.512137,-0.474023,0.056234
0.243,1,-0.516794,-0.472662,0.056234
0.245,1,-0.520538,-0.470466,0.056234
0.247,1,-0.523362,-0.46744,0.056234
0.249,1,-0.525262,-0.463587,0.056234
0.251,1,-0.526235,-0.458916,0.056234
0.253,1,-0.526278,-0.453435,0.056234
0.255,1,-0.525393,-0.447153,0.056234
0.257,1,-0.523579,-0.440081,0.056234
0.259,1,-0.520842,-0.432234,0.056234
0.261,1,-0.517186,-0.423623,0.056234
0.263,1,-0.512616,-0.414265,0.056234
0.265,1,-0.507143,-0.404177,0.056234
0.267,1,-0.500774,-0.393375,0.056234
0.269,1,-0.493522,-0.38188,0.056234
0.271,1,-0.4854,-0.369712,0.056234
0.273,1,-0.476421,-0.356893,0.056234
0.275,1,-0.466602,-0.343444,0.056234
0.277,1,-0.455961,-0.329391,0.056234
0.279,1,-0.444516,-0.314757,0.056234
0.281,1,-0.432287,-0.29957,0.056234
0.283,1,-0.419296,-0.283855,0.056234
0.285,1,-0.405567,-0.267641,0.056234
0.287,1,-0.391123,-0.250957,0.056234
0.289,1,-0.375989,-0.233832,0.056234
0.291,1,-0.360194,-0.216296,0.056234
0.293,1,-0.343765,-0.19838,0.056234
0.295,1,-0.32673,-0.180116,0.056234
0.297,1,-0.30912,-0.161537,0.056234
0.299,1,-0.290966,-0.142676,0.056234
0.301,1,-0.272301,-0.123565,0.056234
