x,rho,E,F,T
0.001,1,0.403405,0.402141,0.056234
0.003,1,0.415337,0.414285,0.056234
0.005,1,0.42663,0.425601,0.056234
0.007,1,0.437168,0.436163,0.056234
0.009,1,0.446933,0.445953,0.056234
0.011,1,0.455909,0.454953,0.056234
0.013,1,0.464078,0.463148,0.056234
0.015,1,0.471428,0.470523,0.056234
0.017,1,0.477944,0.477066,0.056234
0.019,1,0.483616,0.482765,0.056234
0.021,1,0.488434,0.48761,0.056234
0.023,1,0.492389,0.491592,0.056234
0.025,1,0.495474,0.494705,0.056234
0.027,1,0.497685,0.496943,0.056234
0.029,1,0.499017,0.498303,0.056234
0.031,1,0.499468,0.498782,0.056234
0.033,1,0.499037,0.498379,0.056234
0.035,1,0.497725,0.497096,0.056234
0.037,1,0.495536,0.494934,0.056234
0.039,1,0.492471,0.491898,0.056234
0.041,1,0.488538,0.487992,0.056234
0.043,1,0.483744,0.483225,0.056234
0.045,1,0.478096,0.477605,0.056234
0.047,1,0.471605,0.471141,0.056234
0.049,1,0.464282,0.463845,0.056234
0.051,1,0.456142,0.45573,0.056234
0.053,1,0.447197,0.446811,0.056234
0.055,1,0.437464,0.437104,0.056234
0.057,1,0.42696,0.426625,0.056234
0.059,1,0.415704,0.415393,0.056234
0.061,1,0.403716,0.403429,0.056234
0.063,1,0.391017,0.390753,0.056234
0.065,1,0.377629,0.377388,0.056234
0.067,1,0.363577,0.363357,0.056234
0.069,1,0.348886,0.348687,0.056234
0.071,1,0.33358,0.333401,0.056234
0.073,1,0.317688,0.317528,0.056234
0.075,1,0.301238,0.301096,0.056234
0.077,1,0.284258,0.284134,0.056234
0.079,1,0.266779,0.266671,0.056234
0.081,1,0.248832,0.248739,0.056234
0.083,1,0.230448,0.23037,0.056234
0.085,1,0.21166,0.211595,0.056234
0.087,1,0.192501,0.192449,0.056234
0.089,1,0.173005,0.172965,0.056234
0.091,1,0.153207,0.153177,0.056234
0.093,1,0.133142,0.133121,0.056234
0.095,1,0.112844,0.112831,0.056234
0.097,1,0.0923508,0.0923446,0.056234
0.099,1,0.0716974,0.0716969,0.056234
0.101,1,0.0509206,0.0509247,0.056234
0.103,1,0.0300572,0.0300648,0.056234
0.105,1,0.00914396,0.0091538,0.056234
0.107,1,-0.0117821,-0.0117712,0.056234
0.109,1,-0.0326841,-0.0326732,0.056234
0.111,1,-0.053525,-0.0535154,0.056234
0.113,1,-0.0742681,-0.0742609,0.056234
0.115,1,-0.0948767,-0.0948732,0.056234
0.117,1,-0.115315,-0.115316,0.056234
0.119,1,-0.135545,-0.135553,0.056234
0.121,1,-0.155534,-0.155548,0.056234
0.123,1,-0.175244,-0.175267,0.056234
0.125,1,-0.194642,-0.194674,0.056234
0.127,1,-0.213693,-0.213735,0.056234
0.129,1,-0.232363,-0.232417,0.056234
0.131,1,-0.25062,-0.250686,0.056234
0.133,1,-0.268432,-0.268511,0.056234
0.135,1,-0.285766,-0.28586,0.056234
0.137,1,-0.302593,-0.302703,0.056234
0.139,1,-0.318882,-0.319009,0.056234
0.141,1,-0.334606,-0.33475,0.056234
0.143,1,-0.349736,-0.349899,0.056234
0.145,1,-0.364246,-0.364428,0.056234
0.147,1,-0.37811,-0.378312,0.056234
0.149,1,-0.391304,-0.391527,0.056234
0.151,1,-0.403805,-0.404049,0.056234
0.153,1,-0.41559,-0.415857,0.056234
0.155,1,-0.426639,-0.426929,0.056234
0.157,1,-0.436932,-0.437246,0.056234
0.159,1,-0.446452,-0.44679,0.056234
0.161,1,-0.455182,-0.455544,0.056234
0.163,1,-0.463105,-0.463493,0.056234
0.165,1,-0.47021,-0.470624,0.056234
0.167,1,-0.476482,-0.476922,0.056234
0.169,1,-0.481911,-0.482378,0.056234
0.171,1,-0.486488,-0.486982,0.056234
0.173,1,-0.490205,-0.490726,0.056234
0.175,1,-0.493055,-0.493603,0.056234
0.177,1,-0.495033,-0.495609,0.056234
0.179,1,-0.496135,-0.496739,0.056234
0.181,1,-0.496361,-0.496993,0.056234
0.183,1,-0.49571,-0.49637,0.056234
0.185,1,-0.494182,-0.49487,0.056234
0.187,1,-0.491782,-0.492497,0.056234
0.189,1,-0.488512,-0.489255,0.056234
0.191,1,-0.48438,-0.485151,0.056234
0.193,1,-0.479392,-0.48019,0.056234
0.195,1,-0.473557,-0.474382,0.056234
0.197,1,-0.466886,-0.467738,0.056234
0.199,1,-0.459391,-0.46027,0.056234
0.201,1,-0.451085,-0.45199,0.056234
0.203,1,-0.441983,-0.442913,0.056234
0.205,1,-0.4321,-0.433056,0.056234
0.207,1,-0.421456,-0.422436,0.056234
0.209,1,-0.410067,-0.411072,0.056234
0.211,1,-0.397956,-0.398983,0.056234
0.213,1,-0.385142,-0.386192,0.056234
0.215,1,-0.371649,-0.372722,0.056234
0.217,1,-0.357501,-0.358595,0.056234
0.219,1,-0.342723,-0.343838,0.056234
0.221,1,-0.327341,-0.328475,0.056234
0.223,1,-0.311383,-0.312536,0.056234
0.225,1,-0.294875,-0.296046,0.056234
0.227,1,-0.277849,-0.279037,0.056234
0.229,1,-0.260333,-0.261538,0.056234
0.231,1,-0.24236,-0.243579,0.056234
0.233,1,-0.22396,-0.225193,0.056234
0.235,1,-0.205166,-0.206413,0.056234
0.237,1,-0.186012,-0.187271,0.056234
0.239,1,-0.166531,-0.167801,0.056234
0.241,1,-0.146758,-0.148038,0.056234
0.243,1,-0.126728,-0.128017,0.056234
0.245,1,-0.106476,-0.107773,0.056234
0.247,1,-0.0860385,-0.0873412,0.056234
0.249,1,-0.0654506,-0.0667588,0.056234
0.251,1,-0.0447493,-0.0460618,0.056234
0.253,1,-0.0239711,-0.0252867,0.056234
0.255,1,-0.00315263,-0.00447021,0.056234
0.257,1,0.0176693,0.0163509,0.056234
0.259,1,0.0384578,0.0371398,0.056234
0.261,1,0.0591763,0.0578599,0.056234
0.263,1,0.0797882,0.0784745,0.056234
0.265,1,0.100257,0.0989473,0.056234
0.267,1,0.120547,0.119242,0.056234
0.269,1,0.140622,0.139323,0.056234
0.271,1,0.160446,0.159155,0.056234
0.273,1,0.179985,0.178702,0.056234
0.275,1,0.199204,0.197931,0.056234
0.277,1,0.218069,0.216807,0.056234
0.279,1,0.236548,0.235297,0.056234
0.281,1,0.254607,0.253368,0.056234
0.283,1,0.272214,0.270989,0.056234
0.285,1,0.289339,0.288129,0.056234
0.287,1,0.305951,0.304757,0.056234
0.289,1,0.322021,0.320844,0.056234
0.291,1,0.337521,0.336361,0.056234
0.293,1,0.352424,0.351282,0.056234
0.295,1,0.366702,0.36558,0.056234
0.297,1,0.380332,0.37923,0.056234
0.299,1,0.393289,0.392207,0.056234
0.301,1,0.40555,0.40449,0.056234
0.303,1,0.417094,0.416056,0.056234
0.305,1,0.427901,0.426885,0.056234
0.307,1,0.437951,0.436957,0.056234
0.309,1,0.447228,0.446256,0.056234
0.311,1,0.455714,0.454765,0.056234
0.313,1,0.463395,0.462468,0.056234
0.315,1,0.470258,0.469352,0.056234
0.317,1,0.476291,0.475405,0.056234
0.319,1,0.481483,0.480617,0.056234
0.321,1,0.485826,0.484977,0.056234
0.323,1,0.489312,0.488477,0.056234
0.325,1,0.491936,0.491113,0.056234
0.327,1,0.493694,0.492877,0.056234
0.329,1,0.494583,0.493767,0.056234
0.331,1,0.494603,0.493781,0.056234
0.333,1,0.493754,0.492918,0.056234
0.335,1,0.492039,0.491179,0.056234
0.337,1,0.489462,0.488565,0.056234
0.339,1,0.48603,0.485081,0.056234
0.341,1,0.481749,0.480731,0.056234
0.343,1,0.476628,0.475521,0.056234
0.345,1,0.47068,0.469459,0.056234
0.347,1,0.463917,0.462553,0.056234
0.349,1,0.456353,0.454813,0.056234
0.351,1,0.448004,0.446251,0.056234
0.353,1,0.438888,0.436879,0.056234
0.355,1,0.429023,0.426711,0.056234
0.357,1,0.418432,0.415761,0.056234
0.359,1,0.407136,0.404045,0.056234
0.361,1,0.395159,0.391581,0.056234
0.363,1,0.382526,0.378386,0.056234
0.365,1,0.369264,0.36448,0.056234
0.367,1,0.3554,0.349883,0.056234
0.369,1,0.340963,0.334618,0.056234
0.371,1,0.325984,0.318705,0.056234
0.373,1,0.310493,0.30217,0.056234
0.375,1,0.294522,0.285036,0.056234
0.377,1,0.278104,0.267331,0.056234
0.379,1,0.261272,0.24908,0.056234
0.381,1,0.244061,0.230313,0.056234
0.383,1,0.226504,0.211058,0.056234
0.385,1,0.208636,0.191346,0.056234
0.387,1,0.190493,0.171208,0.056234
0.389,1,0.17211,0.150675,0.056234
0.391,1,0.153523,0.129783,0.056234
0.393,1,0.134766,0.108563,0.056234
0.395,1,0.115877,0.0870531,0.056234
0.397,1,0.0968902,0.0652872,0.056234
0.399,1,0.0778411,0.0433025,0.056234
0.401,1,0.0587651,0.0211363,0.056234
0.403,1,0.039697,-0.00117349,0.056234
0.405,1,0.0206715,-0.0235885,0.056234
0.407,1,0.00172306,-0.0460697,0.056234
0.409,1,-0.0171145,-0.0685781,0.056234
0.411,1,-0.0358077,-0.0910739,0.056234
0.413,1,-0.0543235,-0.113517,0.056234
0.415,1,-0.0726294,-0.135869,0.056234
0.417,1,-0.0906934,-0.158089,0.056234
0.419,1,-0.108484,-0.180137,0.056234
0.421,1,-0.125971,-0.201974,0.056234
0.423,1,-0.143124,-0.22356,0.056234
0.425,1,-0.159913,-0.244857,0.056234
0.427,1,-0.17631,-0.265826,0.056234
0.429,1,-0.192288,-0.28643,0.056234
0.431,1,-0.207818,-0.306629,0.056234
0.433,1,-0.222875,-0.326389,0.056234
0.435,1,-0.237433,-0.345673,0.056234
