x,rho,E,F,T
0.001,1,0.535255,0.463967,0.056234
0.003,1,0.532026,0.466562,0.056234
0.005,1,0.527985,0.468205,0.056234
0.007,1,0.523012,0.469022,0.056234
0.009,1,0.517116,0.469011,0.056234
0.011,1,0.510306,0.468172,0.056234
0.013,1,0.502596,0.466507,0.056234
0.015,1,0.493998,0.464018,0.056234
0.017,1,0.484528,0.460711,0.056234
0.019,1,0.474204,0.456591,0.056234
0.021,1,0.463042,0.451666,0.056234
0.023,1,0.451064,0.445944,0.056234
0.025,1,0.43829,0.439436,0.056234
0.027,1,0.424744,0.432153,0.056234
0.029,1,0.410448,0.424108,0.056234
0.031,1,0.395429,0.415316,0.056234
0.033,1,0.379713,0.405791,0.056234
0.035,1,0.363327,0.395552,0.056234
0.037,1,0.346302,0.384616,0.056234
0.039,1,0.328667,0.373003,0.056234
0.041,1,0.310453,0.360733,0.056234
0.043,1,0.291692,0.347828,0.056234
0.045,1,0.272419,0.334311,0.056234
0.047,1,0.252666,0.320205,0.056234
0.049,1,0.232469,0.305537,0.056234
0.051,1,0.211864,0.290331,0.056234
0.053,1,0.190887,0.274614,0.056234
0.055,1,0.169575,0.258415,0.056234
0.057,1,0.147966,0.241762,0.056234
0.059,1,0.126099,0.224685,0.056234
0.061,1,0.104011,0.207213,0.056234
0.063,1,0.0817416,0.189378,0.056234
0.065,1,0.0593308,0.171211,0.056234
0.067,1,0.0368179,0.152744,0.056234
0.069,1,0.0142426,0.13401,0.056234
0.071,1,-0.00835506,0.115042,0.056234
0.073,1,-0.0309352,0.0958738,0.056234
0.075,1,-0.0534579,0.0765385,0.056234
0.077,1,-0.0758834,0.0570708,0.056234
0.079,1,-0.098172,0.0375048,0.056234
0.081,1,-0.120284,0.0178752,0.056234
0.083,1,-0.142181,-0.00178335,0.056234
0.085,1,-0.163824,-0.0214362,0.056234
0.087,1,-0.185175,-0.0410488,0.056234
0.089,1,-0.206196,-0.0605863,0.056234
0.091,1,-0.22685,-0.0800144,0.056234
0.093,1,-0.247101,-0.0992988,0.056234
0.095,1,-0.266912,-0.118406,0.056234
0.097,1,-0.286249,-0.137301,0.056234
0.099,1,-0.305077,-0.155951,0.056234
0.101,1,-0.323365,-0.174324,0.056234
0.103,1,-0.341078,-0.192387,0.056234
0.105,1,-0.358186,-0.210109,0.056234
0.107,1,-0.374659,-0.227457,0.056234
0.109,1,-0.390468,-0.244402,0.056234
0.111,1,-0.405584,-0.260913,0.056234
0.113,1,-0.419982,-0.276962,0.056234
0.115,1,-0.433636,-0.29252,0.056234
0.117,1,-0.446521,-0.30756,0.056234
0.119,1,-0.458616,-0.322055,0.056234
0.121,1,-0.469898,-0.33598,0.056234
0.123,1,-0.480348,-0.349311,0.056234
0.125,1,-0.489948,-0.362024,0.056234
0.127,1,-0.498681,-0.374096,0.056234
0.129,1,-0.506531,-0.385507,0.056234
0.131,1,-0.513484,-0.396236,0.056234
0.133,1,-0.519529,-0.406265,0.056234
0.135,1,-0.524654,-0.415577,0.056234
0.137,1,-0.528852,-0.424153,0.056234
0.139,1,-0.532113,-0.431981,0.056234
0.141,1,-0.534434,-0.439045,0.056234
0.143,1,-0.535809,-0.445335,0.056234
0.145,1,-0.536237,-0.450837,0.056234
0.147,1,-0.535716,-0.455544,0.056234
0.149,1,-0.534249,-0.459447,0.056234
0.151,1,-0.531836,-0.462539,0.056234
0.153,1,-0.528484,-0.464815,0.056234
0.155,1,-0.524198,-0.466271,0.056234
0.157,1,-0.518985,-0.466904,0.056234
0.159,1,-0.512855,-0.466714,0.056234
0.161,1,-0.505818,-0.465701,0.056234
0.163,1,-0.497888,-0.463866,0.056234
0.165,1,-0.489079,-0.461214,0.056234
0.167,1,-0.479406,-0.457749,0.056234
0.169,1,-0.468886,-0.453477,0.056234
0.171,1,-0.457538,-0.448405,0.056234
0.173,1,-0.445382,-0.442544,0.056234
0.175,1,-0.43244,-0.435903,0.056234
0.177,1,-0.418734,-0.428495,0.056234
0.179,1,-0.40429,-0.420331,0.056234
