x,rho,E,F,T
0.001,1,-0.224272,-0.0795495,0.056234
0.003,1,-0.204622,-0.0589246,0.056234
0.005,1,-0.184664,-0.0381459,0.056234
0.007,1,-0.164383,-0.0173028,0.056234
0.009,1,-0.143814,0.00356792,0.056234
0.011,1,-0.122993,0.0244294,0.056234
0.013,1,-0.101958,0.0452446,0.056234
0.015,1,-0.080745,0.0659769,0.056234
0.017,1,-0.0593917,0.0865897,0.056234
0.019,1,-0.0379359,0.107046,0.056234
0.021,1,-0.0164155,0.127311,0.056234
0.023,1,0.00513166,0.147347,0.056234
0.025,1,0.0266674,0.167121,0.056234
0.027,1,0.0481538,0.186596,0.056234
0.029,1,0.0695529,0.205738,0.056234
0.031,1,0.090827,0.224514,0.056234
0.033,1,0.111938,0.24289,0.056234
0.035,1,0.13285,0.260834,0.056234
0.037,1,0.153525,0.278315,0.056234
0.039,1,0.173927,0.2953,0.056234
0.041,1,0.19402,0.311762,0.056234
0.043,1,0.213769,0.327669,0.056234
0.045,1,0.233138,0.342995,0.056234
0.047,1,0.252094,0.357713,0.056234
0.049,1,0.270603,0.371796,0.056234
0.051,1,0.288633,0.385219,0.056234
0.053,1,0.306151,0.397959,0.056234
0.055,1,0.323128,0.409993,0.056234
0.057,1,0.339533,0.421301,0.056234
0.059,1,0.355337,0.431862,0.056234
0.061,1,0.370513,0.441658,0.056234
0.063,1,0.385033,0.450672,0.056234
0.065,1,0.398873,0.458887,0.056234
0.067,1,0.412007,0.466289,0.056234
0.069,1,0.424413,0.472866,0.056234
0.071,1,0.43607,0.478606,0.056234
0.073,1,0.446955,0.483498,0.056234
0.075,1,0.457052,0.487535,0.056234
0.077,1,0.46634,0.490708,0.056234
0.079,1,0.474806,0.493014,0.056234
0.081,1,0.482432,0.494447,0.056234
0.083,1,0.489207,0.495005,0.056234
0.085,1,0.495119,0.494688,0.056234
0.087,1,0.500156,0.493496,0.056234
0.089,1,0.50431,0.491431,0.056234
0.091,1,0.507575,0.488498,0.056234
0.093,1,0.509944,0.4847,0.056234
0.095,1,0.511413,0.480046,0.056234
0.097,1,0.51198,0.474544,0.056234
0.099,1,0.511644,0.468202,0.056234
0.101,1,0.510405,0.461034,0.056234
0.103,1,0.508267,0.453051,0.056234
0.105,1,0.505232,0.444268,0.056234
0.107,1,0.501306,0.434699,0.056234
0.109,1,0.496497,0.424364,0.056234
0.111,1,0.490812,0.413279,0.056234
0.113,1,0.484263,0.401464,0.056234
0.115,1,0.47686,0.388941,0.056234
0.117,1,0.468618,0.375731,0.056234
0.119,1,0.459549,0.361858,0.056234
0.121,1,0.449671,0.347347,0.056234
0.123,1,0.439002,0.332224,0.056234
0.125,1,0.427559,0.316514,0.056234
0.127,1,0.415364,0.300247,0.056234
0.129,1,0.402438,0.28345,0.056234
0.131,1,0.388803,0.266154,0.056234
0.133,1,0.374485,0.24839,0.056234
0.135,1,0.359508,0.230188,0.056234
0.137,1,0.343899,0.211581,0.056234
