x,rho,E,F,T
0.001,1,0.517427,0.399694,0.056234
0.003,1,0.506568,0.393022,0.056234
0.005,1,0.494938,0.385533,0.056234
0.007,1,0.482436,0.377365,0.056234
0.009,1,0.469083,0.368531,0.056234
0.011,1,0.454903,0.359049,0.056234
0.013,1,0.439921,0.348933,0.056234
0.015,1,0.424164,0.338203,0.056234
0.017,1,0.40766,0.326877,0.056234
0.019,1,0.390437,0.314975,0.056234
0.021,1,0.372527,0.302519,0.056234
0.023,1,0.35396,0.289531,0.056234
0.025,1,0.334771,0.276034,0.056234
0.027,1,0.314993,0.262051,0.056234
0.029,1,0.29466,0.247607,0.056234
0.031,1,0.273809,0.232729,0.056234
0.033,1,0.252477,0.217442,0.056234
0.035,1,0.230701,0.201773,0.056234
0.037,1,0.20852,0.18575,0.056234
0.039,1,0.185973,0.169402,0.056234
0.041,1,0.163101,0.152757,0.056234
0.043,1,0.139942,0.135845,0.056234
0.045,1,0.116539,0.118696,0.056234
0.047,1,0.0929332,0.10134,0.056234
0.049,1,0.0691654,0.0838079,0.056234
0.051,1,0.0452782,0.0661304,0.056234
0.053,1,0.0213136,0.0483388,0.056234
0.055,1,-0.00268596,0.0304646,0.056234
0.057,1,-0.0266781,0.0125394,0.056234
0.059,1,-0.0506205,-0.0054051,0.056234
0.061,1,-0.0744708,-0.0233373,0.056234
0.063,1,-0.098187,-0.0412255,0.056234
0.065,1,-0.121727,-0.0590381,0.056234
0.067,1,-0.145049,-0.0767437,0.056234
0.069,1,-0.168113,-0.0943111,0.056234
0.071,1,-0.190877,-0.111709,0.056234
0.073,1,-0.213301,-0.128907,0.056234
0.075,1,-0.235347,-0.145875,0.056234
0.077,1,-0.256973,-0.162583,0.056234
0.079,1,-0.278144,-0.179001,0.056234
0.081,1,-0.298821,-0.195101,0.056234
0.083,1,-0.318967,-0.210853,0.056234
0.085,1,-0.338548,-0.226231,0.056234
0.087,1,-0.357529,-0.241207,0.056234
0.089,1,-0.375876,-0.255755,0.056234
0.091,1,-0.393557,-0.269849,0.056234
0.093,1,-0.41054,-0.283465,0.056234
0.095,1,-0.426796,-0.296578,0.056234
0.097,1,-0.442297,-0.309165,0.056234
0.099,1,-0.457014,-0.321205,0.056234
0.101,1,-0.470923,-0.332676,0.056234
0.103,1,-0.483998,-0.343557,0.056234
0.105,1,-0.496216,-0.353831,0.056234
0.107,1,-0.507556,-0.363478,0.056234
0.109,1,-0.517998,-0.372482,0.056234
0.111,1,-0.527524,-0.380828,0.056234
0.113,1,-0.536117,-0.388499,0.056234
0.115,1,-0.543761,-0.395484,0.056234
0.117,1,-0.550444,-0.40177,0.056234
0.119,1,-0.556154,-0.407345,0.056234
0.121,1,-0.56088,-0.412201,0.056234
0.123,1,-0.564615,-0.416328,0.056234
0.125,1,-0.567352,-0.41972,0.056234
0.127,1,-0.569086,-0.422371,0.056234
0.129,1,-0.569814,-0.424275,0.056234
0.131,1,-0.569535,-0.425431,0.056234
0.133,1,-0.56825,-0.425835,0.056234
0.135,1,-0.565961,-0.425488,0.056234
0.137,1,-0.562672,-0.42439,0.056234
0.139,1,-0.558389,-0.422543,0.056234
0.141,1,-0.553119,-0.419951,0.056234
0.143,1,-0.546873,-0.416618,0.056234
0.145,1,-0.539661,-0.41255,0.056234
0.147,1,-0.531496,-0.407755,0.056234
0.149,1,-0.522393,-0.402241,0.056234
0.151,1,-0.512368,-0.396018,0.056234
0.153,1,-0.501438,-0.389098,0.056234
0.155,1,-0.489623,-0.381492,0.056234
0.157,1,-0.476944,-0.373214,0.056234
0.159,1,-0.463423,-0.364278,0.056234
0.161,1,-0.449085,-0.354702,0.056234
0.163,1,-0.433955,-0.344501,0.056234
0.165,1,-0.418059,-0.333694,0.056234
0.167,1,-0.401426,-0.3223,0.056234
0.169,1,-0.384085,-0.310339,0.056234
0.171,1,-0.366067,-0.297833,0.056234
0.173,1,-0.347404,-0.284803,0.056234
0.175,1,-0.328128,-0.271273,0.056234
0.177,1,-0.308275,-0.257267,0.056234
0.179,1,-0.287878,-0.242809,0.056234
0.181,1,-0.266975,-0.227925,0.056234
0.183,1,-0.245602,-0.212642,0.056234
0.185,1,-0.223796,-0.196986,0.056234
0.187,1,-0.201598,-0.180986,0.056234
0.189,1,-0.179044,-0.164669,0.056234
0.191,1,-0.156177,-0.148064,0.056234
0.193,1,-0.133036,-0.131201,0.056234
0.195,1,-0.109661,-0.11411,0.056234
0.197,1,-0.0860947,-0.0968206,0.056234
0.199,1,-0.0623783,-0.0793635,0.056234
0.201,1,-0.0385537,-0.0617696,0.056234
0.203,1,-0.014663,-0.04407,0.056234
0.205,1,0.00925156,-0.0262959,0.056234
0.207,1,0.0331478,-0.00847883,0.056234
0.209,1,0.0569834,0.00934984,0.056234
0.211,1,0.0807164,0.0271586,0.056234
0.213,1,0.104305,0.044916,0.056234
0.215,1,0.127707,0.0625908,0.056234
0.217,1,0.150882,0.0801517,0.056234
0.219,1,0.173788,0.0975677,0.056234
0.221,1,0.196385,0.114808,0.056234
0.223,1,0.218633,0.131843,0.056234
0.225,1,0.240494,0.148641,0.056234
0.227,1,0.261928,0.165174,0.056234
0.229,1,0.282897,0.181412,0.056234
0.231,1,0.303365,0.197326,0.056234
0.233,1,0.323295,0.212889,0.056234
0.235,1,0.342652,0.228074,0.056234
0.237,1,0.361403,0.242852,0.056234
0.239,1,0.379514,0.257199,0.056234
0.241,1,0.396953,0.27109,0.056234
0.243,1,0.413689,0.284498,0.056234
0.245,1,0.429693,0.297402,0.056234
0.247,1,0.444937,0.309778,0.056234
0.249,1,0.459393,0.321605,0.056234
0.251,1,0.473038,0.332862,0.056234
0.253,1,0.485845,0.343529,0.056234
0.255,1,0.497793,0.353587,0.056234
0.257,1,0.508861,0.363019,0.056234
0.259,1,0.51903,0.371808,0.056234
0.261,1,0.528281,0.379939,0.056234
0.263,1,0.536598,0.387397,0.056234
0.265,1,0.543967,0.394169,0.056234
0.267,1,0.550374,0.400245,0.056234
0.269,1,0.555809,0.405612,0.056234
0.271,1,0.560262,0.410262,0.056234
0.273,1,0.563725,0.414187,0.056234
0.275,1,0.566192,0.417379,0.056234
0.277,1,0.567659,0.419833,0.056234
