x,rho,E,F,T
0.001,1,-0.40281,-0.260469,0.056234
0.003,1,-0.385982,-0.245275,0.056234
0.005,1,-0.368567,-0.229558,0.056234
0.007,1,-0.3505,-0.21344,0.056234
0.009,1,-0.331813,-0.196951,0.056234
0.011,1,-0.312539,-0.180119,0.056234
0.013,1,-0.292713,-0.162974,0.056234
0.015,1,-0.27237,-0.145547,0.056234
0.017,1,-0.251546,-0.127867,0.056234
0.019,1,-0.230277,-0.109967,0.056234
0.021,1,-0.208601,-0.0918771,0.056234
0.023,1,-0.186558,-0.0736305,0.056234
0.025,1,-0.164184,-0.0552588,0.056234
0.027,1,-0.141522,-0.0367946,0.056234
0.029,1,-0.118609,-0.0182704,0.056234
0.031,1,-0.0954876,0.000281153,0.056234
0.033,1,-0.072198,0.0188272,0.056234
0.035,1,-0.0487813,0.0373352,0.056234
0.037,1,-0.0252791,0.0557723,0.056234
0.039,1,-0.00173281,0.0741061,0.056234
0.041,1,0.0218158,0.0923043,0.056234
0.043,1,0.0453252,0.110335,0.056234
0.045,1,0.0687538,0.128166,0.056234
0.047,1,0.0920602,0.145766,0.056234
0.049,1,0.115203,0.163103,0.056234
0.051,1,0.138142,0.180149,0.056234
0.053,1,0.160836,0.196872,0.056234
0.055,1,0.183245,0.213243,0.056234
0.057,1,0.20533,0.229233,0.056234
0.059,1,0.227051,0.244813,0.056234
0.061,1,0.24837,0.259958,0.056234
0.063,1,0.26925,0.274639,0.056234
0.065,1,0.289654,0.288832,0.056234
0.067,1,0.309546,0.30251,0.056234
0.069,1,0.32889,0.315651,0.056234
0.071,1,0.347653,0.32823,0.056234
0.073,1,0.365801,0.340226,0.056234
0.075,1,0.383302,0.351618,0.056234
0.077,1,0.400126,0.362386,0.056234
0.079,1,0.416243,0.372511,0.056234
0.081,1,0.431624,0.381974,0.056234
0.083,1,0.446243,0.39076,0.056234
0.085,1,0.460073,0.398854,0.056234
0.087,1,0.473091,0.40624,0.056234
0.089,1,0.485273,0.412906,0.056234
0.091,1,0.496598,0.41884,0.056234
0.093,1,0.507045,0.424033,0.056234
0.095,1,0.516598,0.428474,0.056234
0.097,1,0.525238,0.432157,0.056234
0.099,1,0.532951,0.435074,0.056234
0.101,1,0.539722,0.437222,0.056234
0.103,1,0.545541,0.438596,0.056234
0.105,1,0.550397,0.439193,0.056234
0.107,1,0.554282,0.439014,0.056234
0.109,1,0.557188,0.438058,0.056234
0.111,1,0.559111,0.436328,0.056234
0.113,1,0.560048,0.433826,0.056234
0.115,1,0.559996,0.430557,0.056234
0.117,1,0.558956,0.426528,0.056234
0.119,1,0.55693,0.421744,0.056234
0.121,1,0.553922,0.416216,0.056234
0.123,1,0.549936,0.409952,0.056234
0.125,1,0.544981,0.402964,0.056234
0.127,1,0.539065,0.395265,0.056234
0.129,1,0.532198,0.386867,0.056234
0.131,1,0.524393,0.377787,0.056234
0.133,1,0.515663,0.368041,0.056234
0.135,1,0.506025,0.357645,0.056234
0.137,1,0.495495,0.346618,0.056234
0.139,1,0.484091,0.33498,0.056234
0.141,1,0.471835,0.322751,0.056234
0.143,1,0.458747,0.309953,0.056234
0.145,1,0.444851,0.29661,0.056234
0.147,1,0.430172,0.282744,0.056234
0.149,1,0.414736,0.26838,0.056234
0.151,1,0.398569,0.253543,0.056234
0.153,1,0.381701,0.238261,0.056234
0.155,1,0.364161,0.22256,0.056234
0.157,1,0.34598,0.206467,0.056234
0.159,1,0.327191,0.190012,0.056234
0.161,1,0.307827,0.173224,0.056234
0.163,1,0.287921,0.156131,0.056234
0.165,1,0.26751,0.138766,0.056234
0.167,1,0.246629,0.121157,0.056234
0.169,1,0.225316,0.103337,0.056234
0.171,1,0.203607,0.085337,0.056234
0.173,1,0.181541,0.0671886,0.056234
0.175,1,0.159158,0.0489242,0.056234
0.177,1,0.136496,0.0305761,0.056234
0.179,1,0.113596,0.0121765,0.056234
0.181,1,0.0904982,-0.00624177,0.056234
0.183,1,0.0672435,-0.0246463,0.056234
0.185,1,0.0438729,-0.0430046,0.056234
0.187,1,0.0204276,-0.0612841,0.056234
0.189,1,-0.0030509,-0.0794526,0.056234
0.191,1,-0.0265212,-0.097478,0.056234
0.193,1,-0.0499419,-0.115328,0.056234
0.195,1,-0.0732715,-0.132972,0.056234
0.197,1,-0.096469,-0.150378,0.056234
0.199,1,-0.119493,-0.167516,0.056234
0.201,1,-0.142304,-0.184356,0.056234
0.203,1,-0.164861,-0.200866,0.056234
0.205,1,-0.187124,-0.21702,0.056234
0.207,1,-0.209054,-0.232787,0.056234
0.209,1,-0.230612,-0.248141,0.056234
0.211,1,-0.25176,-0.263054,0.056234
0.213,1,-0.272461,-0.277499,0.056234
0.215,1,-0.292679,-0.291452,0.056234
0.217,1,-0.312378,-0.304888,0.056234
0.219,1,-0.331522,-0.317783,0.056234
0.221,1,-0.350079,-0.330115,0.056234
0.223,1,-0.368016,-0.341861,0.056234
