x,rho,E,F,T
0.001,1,0.455731,0.454559,0.056234
0.003,1,0.463837,0.462905,0.056234
0.005,1,0.47123,0.470324,0.056234
0.007,1,0.477791,0.476911,0.056234
0.009,1,0.483507,0.482654,0.056234
0.011,1,0.48837,0.487544,0.056234
0.013,1,0.492369,0.491571,0.056234
0.015,1,0.4955,0.494729,0.056234
0.017,1,0.497755,0.497012,0.056234
0.019,1,0.499132,0.498416,0.056234
0.021,1,0.499627,0.498939,0.056234
0.023,1,0.49924,0.498581,0.056234
0.025,1,0.497973,0.497341,0.056234
0.027,1,0.495826,0.495223,0.056234
0.029,1,0.492805,0.49223,0.056234
0.031,1,0.488914,0.488367,0.056234
0.033,1,0.484161,0.483641,0.056234
0.035,1,0.478554,0.478061,0.056234
0.037,1,0.472103,0.471638,0.056234
0.039,1,0.46482,0.464381,0.056234
0.041,1,0.456717,0.456305,0.056234
0.043,1,0.447809,0.447423,0.056234
0.045,1,0.438112,0.437751,0.056234
0.047,1,0.427644,0.427307,0.056234
0.049,1,0.416421,0.416109,0.056234
0.051,1,0.404466,0.404177,0.056234
0.053,1,0.391798,0.391533,0.056234
0.055,1,0.37844,0.378197,0.056234
0.057,1,0.364417,0.364195,0.056234
0.059,1,0.349752,0.349551,0.056234
0.061,1,0.334472,0.334291,0.056234
0.063,1,0.318603,0.318442,0.056234
0.065,1,0.302175,0.302032,0.056234
0.067,1,0.285216,0.28509,0.056234
0.069,1,0.267755,0.267647,0.056234
0.071,1,0.249825,0.249732,0.056234
0.073,1,0.231456,0.231378,0.056234
0.075,1,0.212682,0.212617,0.056234
0.077,1,0.193535,0.193482,0.056234
0.079,1,0.174049,0.174008,0.056234
0.081,1,0.154259,0.154228,0.056234
0.083,1,0.134199,0.134178,0.056234
0.085,1,0.113906,0.113893,0.056234
0.087,1,0.093415,0.0934085,0.056234
0.089,1,0.0727621,0.0727614,0.056234
0.091,1,0.051984,0.0519879,0.056234
0.093,1,0.0311173,0.0311248,0.056234
0.095,1,0.010199,0.0102088,0.056234
0.097,1,-0.0107341,-0.0107231,0.056234
0.099,1,-0.0316449,-0.031634,0.056234
0.101,1,-0.0524965,-0.0524867,0.056234
0.103,1,-0.073252,-0.0732447,0.056234
0.105,1,-0.0938749,-0.0938712,0.056234
0.107,1,-0.114329,-0.11433,0.056234
0.109,1,-0.134577,-0.134584,0.056234
0.111,1,-0.154585,-0.154599,0.056234
0.113,1,-0.174317,-0.174339,0.056234
0.115,1,-0.193737,-0.193769,0.056234
0.117,1,-0.212813,-0.212854,0.056234
0.119,1,-0.231509,-0.231562,0.056234
0.121,1,-0.249793,-0.249859,0.056234
0.123,1,-0.267634,-0.267713,0.056234
0.125,1,-0.284998,-0.285092,0.056234
0.127,1,-0.301857,-0.301966,0.056234
0.129,1,-0.318179,-0.318305,0.056234
0.131,1,-0.333937,-0.334081,0.056234
0.133,1,-0.349103,-0.349264,0.056234
0.135,1,-0.363649,-0.36383,0.056234
0.137,1,-0.377551,-0.377752,0.056234
0.139,1,-0.390783,-0.391005,0.056234
0.141,1,-0.403323,-0.403567,0.056234
0.143,1,-0.415149,-0.415414,0.056234
0.145,1,-0.426239,-0.426527,0.056234
0.147,1,-0.436574,-0.436886,0.056234
0.149,1,-0.446136,-0.446473,0.056234
0.151,1,-0.454909,-0.45527,0.056234
0.153,1,-0.462876,-0.463263,0.056234
0.155,1,-0.470024,-0.470437,0.056234
0.157,1,-0.47634,-0.476779,0.056234
0.159,1,-0.481814,-0.48228,0.056234
0.161,1,-0.486436,-0.486928,0.056234
0.163,1,-0.490197,-0.490717,0.056234
0.165,1,-0.493091,-0.493638,0.056234
0.167,1,-0.495114,-0.495689,0.056234
0.169,1,-0.496261,-0.496864,0.056234
0.171,1,-0.496531,-0.497162,0.056234
0.173,1,-0.495923,-0.496582,0.056234
0.175,1,-0.494439,-0.495126,0.056234
0.177,1,-0.492082,-0.492796,0.056234
0.179,1,-0.488855,-0.489597,0.056234
0.181,1,-0.484764,-0.485534,0.056234
0.183,1,-0.479817,-0.480615,0.056234
0.185,1,-0.474023,-0.474848,0.056234
0.187,1,-0.467392,-0.468243,0.056234
0.189,1,-0.459936,-0.460813,0.056234
0.191,1,-0.451667,-0.452571,0.056234
0.193,1,-0.442602,-0.443531,0.056234
0.195,1,-0.432755,-0.43371,0.056234
0.197,1,-0.422145,-0.423124,0.056234
0.199,1,-0.41079,-0.411793,0.056234
0.201,1,-0.39871,-0.399737,0.056234
0.203,1,-0.385927,-0.386977,0.056234
0.205,1,-0.372464,-0.373535,0.056234
0.207,1,-0.358343,-0.359436,0.056234
0.209,1,-0.343592,-0.344705,0.056234
0.211,1,-0.328234,-0.329368,0.056234
0.213,1,-0.312299,-0.313451,0.056234
0.215,1,-0.295813,-0.296984,0.056234
0.217,1,-0.278807,-0.279994,0.056234
0.219,1,-0.261309,-0.262513,0.056234
0.221,1,-0.243352,-0.244571,0.056234
0.223,1,-0.224967,-0.2262,0.056234
0.225,1,-0.206186,-0.207433,0.056234
0.227,1,-0.187043,-0.188302,0.056234
0.229,1,-0.167572,-0.168842,0.056234
0.231,1,-0.147807,-0.149086,0.056234
0.233,1,-0.127782,-0.12907,0.056234
0.235,1,-0.107534,-0.10883,0.056234
0.237,1,-0.0870978,-0.0884007,0.056234
0.239,1,-0.06651,-0.0678184,0.056234
0.241,1,-0.0458069,-0.0471196,0.056234
0.243,1,-0.0250249,-0.0263408,0.056234
0.245,1,-0.00420092,-0.00551882,0.056234
0.247,1,0.0166284,0.0153096,0.056234
0.249,1,0.0374262,0.0361078,0.056234
0.251,1,0.0581558,0.0568389,0.056234
0.253,1,0.0787805,0.0774663,0.056234
0.255,1,0.0992641,0.0979536,0.056234
0.257,1,0.11957,0.118265,0.056234
0.259,1,0.139663,0.138364,0.056234
0.261,1,0.159507,0.158215,0.056234
0.263,1,0.179068,0.177784,0.056234
0.265,1,0.19831,0.197036,0.056234
0.267,1,0.2172,0.215936,0.056234
0.269,1,0.235705,0.234453,0.056234
0.271,1,0.253791,0.252552,0.056234
0.273,1,0.271427,0.270202,0.056234
0.275,1,0.288583,0.287372,0.056234
0.277,1,0.305227,0.304032,0.056234
0.279,1,0.32133,0.320152,0.056234
0.281,1,0.336864,0.335704,0.056234
0.283,1,0.351802,0.35066,0.056234
0.285,1,0.366117,0.364995,0.056234
0.287,1,0.379785,0.378682,0.056234
0.289,1,0.39278,0.391698,0.056234
0.291,1,0.405081,0.40402,0.056234
0.293,1,0.416665,0.415627,0.056234
0.295,1,0.427512,0.426497,0.056234
0.297,1,0.437603,0.436612,0.056234
0.299,1,0.446921,0.445954,0.056234
0.301,1,0.455449,0.454507,0.056234
0.303,1,0.463172,0.462255,0.056234
0.305,1,0.470076,0.469185,0.056234
0.307,1,0.47615,0.475285,0.056234
0.309,1,0.481383,0.480544,0.056234
0.311,1,0.485765,0.484953,0.056234
0.313,1,0.48929,0.488504,0.056234
0.315,1,0.491951,0.491191,0.056234
0.317,1,0.493743,0.49301,0.056234
0.319,1,0.494664,0.493957,0.056234
0.321,1,0.494713,0.49403,0.056234
0.323,1,0.493888,0.49323,0.056234
0.325,1,0.492192,0.491558,0.056234
0.327,1,0.489629,0.489016,0.056234
0.329,1,0.486202,0.48561,0.056234
0.331,1,0.48192,0.481344,0.056234
0.333,1,0.476788,0.476227,0.056234
0.335,1,0.470818,0.470267,0.056234
0.337,1,0.46402,0.463475,0.056234
0.339,1,0.456407,0.455861,0.056234
0.341,1,0.447992,0.447439,0.056234
0.343,1,0.438793,0.438222,0.056234
0.345,1,0.428826,0.428227,0.056234
0.347,1,0.418109,0.41747,0.056234
0.349,1,0.406664,0.405969,0.056234
0.351,1,0.394512,0.393743,0.056234
0.353,1,0.381676,0.380811,0.056234
0.355,1,0.368181,0.367195,0.056234
0.357,1,0.354053,0.352918,0.056234
0.359,1,0.339319,0.338001,0.056234
0.361,1,0.324008,0.322468,0.056234
0.363,1,0.30815,0.306345,0.056234
0.365,1,0.291776,0.289657,0.056234
0.367,1,0.274918,0.27243,0.056234
0.369,1,0.257609,0.254692,0.056234
0.371,1,0.239885,0.236468,0.056234
0.373,1,0.221781,0.217789,0.056234
0.375,1,0.203331,0.198683,0.056234
0.377,1,0.184574,0.17918,0.056234
0.379,1,0.165547,0.159309,0.056234
0.381,1,0.146288,0.139101,0.056234
0.383,1,0.126836,0.118588,0.056234
0.385,1,0.107228,0.0978019,0.056234
0.387,1,0.0875054,0.0767744,0.056234
0.389,1,0.0677058,0.0555388,0.056234
0.391,1,0.0478689,0.0341281,0.056234
0.393,1,0.0280336,0.0125765,0.056234
