x,rho,E,F,T
0.001,1,-0.489092,-0.3602,0.056234
0.003,1,-0.475925,-0.350447,0.056234
0.005,1,-0.462035,-0.339962,0.056234
0.007,1,-0.44733,-0.328878,0.056234
0.009,1,-0.431835,-0.317216,0.056234
0.011,1,-0.415579,-0.304996,0.056234
0.013,1,-0.39859,-0.29224,0.056234
0.015,1,-0.380899,-0.27897,0.056234
0.017,1,-0.362536,-0.26521,0.056234
0.019,1,-0.343534,-0.250985,0.056234
0.021,1,-0.323927,-0.23632,0.056234
0.023,1,-0.303749,-0.22124,0.056234
0.025,1,-0.283036,-0.205772,0.056234
0.027,1,-0.261825,-0.189944,0.056234
0.029,1,-0.240153,-0.173784,0.056234
0.031,1,-0.218058,-0.15732,0.056234
0.033,1,-0.195581,-0.140582,0.056234
0.035,1,-0.172759,-0.123598,0.056234
0.037,1,-0.149634,-0.1064,0.056234
0.039,1,-0.126247,-0.0890171,0.056234
0.041,1,-0.102639,-0.0714806,0.056234
0.043,1,-0.0788509,-0.0538213,0.056234
0.045,1,-0.0549257,-0.0360704,0.056234
0.047,1,-0.0309054,-0.0182594,0.056234
0.049,1,-0.00683245,-0.00041962,0.056234
0.051,1,0.0172507,0.0174173,0.056234
0.053,1,0.0413014,0.03522,0.056234
0.055,1,0.0652773,0.0529569,0.056234
0.057,1,0.089136,0.0705967,0.056234
0.059,1,0.112835,0.0881084,0.056234
0.061,1,0.136334,0.105461,0.056234
0.063,1,0.159589,0.122624,0.056234
0.065,1,0.182561,0.139567,0.056234
0.067,1,0.205209,0.156259,0.056234
0.069,1,0.227492,0.172673,0.056234
0.071,1,0.249372,0.188778,0.056234
0.073,1,0.27081,0.204547,0.056234
0.075,1,0.291767,0.219951,0.056234
0.077,1,0.312208,0.234964,0.056234
0.079,1,0.332096,0.249559,0.056234
0.081,1,0.351396,0.263709,0.056234
0.083,1,0.370074,0.277392,0.056234
0.085,1,0.388097,0.290581,0.056234
0.087,1,0.405433,0.303255,0.056234
0.089,1,0.422051,0.31539,0.056234
0.091,1,0.437923,0.326966,0.056234
0.093,1,0.453021,0.337961,0.056234
0.095,1,0.467317,0.348358,0.056234
0.097,1,0.480787,0.358137,0.056234
0.099,1,0.493407,0.367281,0.056234
0.101,1,0.505155,0.375775,0.056234
0.103,1,0.51601,0.383603,0.056234
0.105,1,0.525952,0.390752,0.056234
0.107,1,0.534966,0.397209,0.056234
0.109,1,0.543034,0.402963,0.056234
0.111,1,0.550142,0.408003,0.056234
0.113,1,0.556279,0.412322,0.056234
0.115,1,0.561433,0.415912,0.056234
0.117,1,0.565595,0.418766,0.056234
0.119,1,0.568758,0.420879,0.056234
0.121,1,0.570917,0.422248,0.056234
0.123,1,0.572068,0.422871,0.056234
0.125,1,0.572209,0.422746,0.056234
0.127,1,0.571339,0.421875,0.056234
0.129,1,0.569461,0.420258,0.056234
0.131,1,0.566578,0.417898,0.056234
0.133,1,0.562694,0.414801,0.056234
0.135,1,0.557818,0.410971,0.056234
0.137,1,0.551957,0.406416,0.056234
0.139,1,0.545123,0.401143,0.056234
0.141,1,0.537326,0.395162,0.056234
0.143,1,0.528582,0.388484,0.056234
0.145,1,0.518905,0.381121,0.056234
0.147,1,0.508314,0.373085,0.056234
0.149,1,0.496826,0.364391,0.056234
0.151,1,0.484462,0.355055,0.056234
0.153,1,0.471244,0.345094,0.056234
0.155,1,0.457195,0.334524,0.056234
0.157,1,0.44234,0.323364,0.056234
0.159,1,0.426707,0.311635,0.056234
0.161,1,0.410321,0.299358,0.056234
0.163,1,0.393213,0.286553,0.056234
0.165,1,0.375412,0.273244,0.056234
0.167,1,0.35695,0.259455,0.056234
0.169,1,0.33786,0.245209,0.056234
0.171,1,0.318175,0.230533,0.056234
0.173,1,0.297931,0.215451,0.056234
0.175,1,0.277163,0.199992,0.056234
0.177,1,0.255908,0.184181,0.056234
0.179,1,0.234203,0.168047,0.056234
0.181,1,0.212087,0.151619,0.056234
0.183,1,0.189599,0.134926,0.056234
0.185,1,0.166779,0.117997,0.056234
0.187,1,0.143667,0.100863,0.056234
0.189,1,0.120303,0.0835526,0.056234
0.191,1,0.0967297,0.0660976,0.056234
0.193,1,0.0729882,0.0485285,0.056234
0.195,1,0.0491204,0.0308764,0.056234
0.197,1,0.0251685,0.0131726,0.056234
0.199,1,0.00117485,-0.00455181,0.056234
0.201,1,-0.0228182,-0.0222654,0.056234
0.203,1,-0.0467683,-0.0399368,0.056234
0.205,1,-0.0706331,-0.057535,0.056234
0.207,1,-0.0943705,-0.0750289,0.056234
0.209,1,-0.117939,-0.0923874,0.056234
0.211,1,-0.141296,-0.10958,0.056234
0.213,1,-0.164401,-0.126577,0.056234
0.215,1,-0.187213,-0.143347,0.056234
0.217,1,-0.209692,-0.159861,0.056234
0.219,1,-0.231798,-0.176091,0.056234
0.221,1,-0.253492,-0.192007,0.056234
0.223,1,-0.274736,-0.207582,0.056234
0.225,1,-0.295492,-0.222787,0.056234
0.227,1,-0.315724,-0.237597,0.056234
0.229,1,-0.335396,-0.251985,0.056234
0.231,1,-0.354474,-0.265925,0.056234
0.233,1,-0.372923,-0.279394,0.056234
0.235,1,-0.390711,-0.292367,0.056234
0.237,1,-0.407808,-0.304822,0.056234
0.239,1,-0.424182,-0.316737,0.056234
0.241,1,-0.439805,-0.32809,0.056234
0.243,1,-0.454649,-0.338863,0.056234
0.245,1,-0.468689,-0.349035,0.056234
0.247,1,-0.481899,-0.358589,0.056234
0.249,1,-0.494257,-0.367509,0.056234
0.251,1,-0.50574,-0.375779,0.056234
0.253,1,-0.516328,-0.383383,0.056234
0.255,1,-0.526003,-0.39031,0.056234
0.257,1,-0.534747,-0.396546,0.056234
0.259,1,-0.542547,-0.402081,0.056234
0.261,1,-0.549386,-0.406905,0.056234
0.263,1,-0.555255,-0.411011,0.056234
