x,rho,E,F,T,Tr
0.001,1,18.2716,-18.0144,6.04197,6.04096
0.003,1,18.4637,-17.9887,6.05778,6.05677
0.005,1,18.6697,-17.9763,6.07461,6.0736
0.007,1,18.8762,-17.9638,6.09134,6.09032
0.009,1,19.0831,-17.9511,6.10796,6.10694
0.011,1,19.2905,-17.9383,6.12449,6.12346
0.013,1,19.4982,-17.9254,6.14092,6.13989
0.015,1,19.7065,-17.9122,6.15725,6.15621
0.017,1,19.9151,-17.8989,6.17349,6.17245
0.019,1,20.1243,-17.8854,6.18963,6.18859
0.021,1,20.3338,-17.8717,6.20569,6.20463
0.023,1,20.5438,-17.8579,6.22165,6.22059
0.025,1,20.7542,-17.8438,6.23753,6.23646
0.027,1,20.965,-17.8295,6.25331,6.25224
0.029,1,21.1763,-17.8151,6.26901,6.26793
0.031,1,21.388,-17.8004,6.28462,6.28354
0.033,1,21.6001,-17.7855,6.30015,6.29906
0.035,1,21.8126,-17.7704,6.3156,6.31449
0.037,1,22.0256,-17.7551,6.33096,6.32985
0.039,1,22.2389,-17.7396,6.34623,6.34512
0.041,1,22.4526,-17.7239,6.36143,6.36031
0.043,1,22.6667,-17.708,6.37654,6.37542
0.045,1,22.8812,-17.6919,6.39158,6.39044
0.047,1,23.096,-17.6756,6.40653,6.40539
0.049,1,23.3112,-17.6592,6.4214,6.42026
0.051,1,23.5267,-17.6425,6.4362,6.43505
0.053,1,23.7426,-17.6256,6.45092,6.44976
0.055,1,23.9588,-17.6085,6.46555,6.4644
0.057,1,24.1754,-17.5913,6.48012,6.47895
0.059,1,24.3922,-17.5738,6.4946,6.49343
0.061,1,24.6094,-17.5562,6.50901,6.50784
0.063,1,24.8268,-17.5384,6.52334,6.52217
0.065,1,25.0446,-17.5204,6.5376,6.53642
0.067,1,25.2626,-17.5023,6.55178,6.5506
0.069,1,25.4809,-17.4839,6.56589,6.56471
0.071,1,25.6995,-17.4654,6.57993,6.57874
0.073,1,25.9184,-17.4467,6.5939,6.5927
0.075,1,26.1375,-17.4279,6.60779,6.60659
0.077,1,26.3569,-17.4088,6.62161,6.62041
0.079,1,26.5765,-17.3896,6.63536,6.63416
0.081,1,26.7964,-17.3702,6.64905,6.64784
0.083,1,27.0165,-17.3506,6.66266,6.66145
0.085,1,27.2369,-17.3308,6.67621,6.67499
0.087,1,27.4575,-17.3108,6.68969,6.68847
0.089,1,27.6783,-17.2906,6.7031,6.70187
0.091,1,27.8994,-17.2703,6.71645,6.71522
0.093,1,28.1207,-17.2497,6.72973,6.72849
0.095,1,28.3422,-17.229,6.74294,6.74171
0.097,1,28.5639,-17.208,6.7561,6.75485
0.099,1,28.7859,-17.1869,6.76918,6.76794
0.101,1,29.008,-17.1655,6.78221,6.78096
0.103,1,29.2303,-17.144,6.79517,6.79391
0.105,1,29.4529,-17.1223,6.80807,6.80681
0.107,1,29.6756,-17.1003,6.8209,6.81964
0.109,1,29.8985,-17.0782,6.83367,6.83241
0.111,1,30.1215,-17.056,6.84638,6.84511
0.113,1,30.3447,-17.0335,6.85903,6.85776
0.115,1,30.5681,-17.0108,6.87162,6.87035
0.117,1,30.7916,-16.988,6.88415,6.88287
0.119,1,31.0152,-16.965,6.89661,6.89533
0.121,1,31.239,-16.9419,6.90902,6.90773
0.123,1,31.4628,-16.9186,6.92136,6.92008
0.125,1,31.6868,-16.8951,6.93364,6.93236
0.127,1,31.9108,-16.8714,6.94587,6.94458
0.129,1,32.135,-16.8477,6.95803,6.95674
0.131,1,32.3592,-16.8237,6.97013,6.96885
0.133,1,32.5834,-16.7997,6.98218,6.98089
0.135,1,32.8078,-16.7754,6.99416,6.99287
0.137,1,33.0322,-16.7511,7.00609,7.0048
0.139,1,33.2566,-16.7266,7.01796,7.01667
0.141,1,33.4811,-16.7019,7.02977,7.02848
