x,rho,E,F,T
0.287,1,0.218753,0.217486,0.056234
0.289,1,0.237209,0.235954,0.056234
0.291,1,0.255245,0.254002,0.056234
0.293,1,0.272828,0.271599,0.056234
0.295,1,0.289927,0.288713,0.056234
0.297,1,0.306512,0.305314,0.056234
0.299,1,0.322555,0.321373,0.056234
0.301,1,0.338026,0.336863,0.056234
0.303,1,0.352899,0.351754,0.056234
0.305,1,0.367148,0.366022,0.056234
0.307,1,0.380746,0.379641,0.056234
0.309,1,0.393671,0.392587,0.056234
0.311,1,0.4059,0.404837,0.056234
0.313,1,0.417411,0.41637,0.056234
0.315,1,0.428183,0.427166,0.056234
0.317,1,0.438199,0.437205,0.056234
0.319,1,0.44744,0.446471,0.056234
0.321,1,0.45589,0.454945,0.056234
0.323,1,0.463534,0.462615,0.056234
0.325,1,0.470359,0.469466,0.056234
0.327,1,0.476354,0.475487,0.056234
0.329,1,0.481506,0.480666,0.056234
0.331,1,0.485808,0.484995,0.056234
0.333,1,0.489253,0.488467,0.056234
0.335,1,0.491833,0.491074,0.056234
0.337,1,0.493545,0.492814,0.056234
0.339,1,0.494385,0.493682,0.056234
0.341,1,0.494353,0.493677,0.056234
0.343,1,0.493448,0.4928,0.056234
0.345,1,0.491673,0.491053,0.056234
0.347,1,0.48903,0.488437,0.056234
0.349,1,0.485524,0.484959,0.056234
0.351,1,0.481162,0.480624,0.056234
0.353,1,0.475951,0.47544,0.056234
0.355,1,0.4699,0.469417,0.056234
0.357,1,0.463021,0.462565,0.056234
0.359,1,0.455326,0.454896,0.056234
0.361,1,0.446829,0.446424,0.056234
0.363,1,0.437543,0.437164,0.056234
0.365,1,0.427487,0.427133,0.056234
0.367,1,0.416678,0.416348,0.056234
0.369,1,0.405135,0.404828,0.056234
0.371,1,0.392878,0.392594,0.056234
0.373,1,0.379929,0.379668,0.056234
0.375,1,0.366312,0.366073,0.056234
0.377,1,0.352051,0.351832,0.056234
0.379,1,0.337169,0.336971,0.056234
0.381,1,0.321695,0.321517,0.056234
0.383,1,0.305656,0.305496,0.056234
0.385,1,0.289079,0.288936,0.056234
0.387,1,0.271994,0.271869,0.056234
0.389,1,0.254432,0.254322,0.056234
0.391,1,0.236424,0.236328,0.056234
0.393,1,0.218,0.217919,0.056234
0.395,1,0.199195,0.199126,0.056234
0.397,1,0.180041,0.179984,0.056234
0.399,1,0.160572,0.160526,0.056234
0.401,1,0.140824,0.140787,0.056234
0.403,1,0.120836,0.120807,0.056234
0.405,1,0.10066,0.100639,0.056234
0.407,1,0.0803993,0.0803846,0.056234
0.409,1,0.0603025,0.0602928,0.056234
0.411,1,0.0409739,0.0409682,0.056234
0.413,1,0.0236589,0.023656,0.056234
