x,rho,E,F,T,Tr
0.001,1,14.9103,-14.7129,5.74242,5.7416
0.003,1,15.0574,-14.6906,5.75654,5.75571
0.005,1,15.2185,-14.6818,5.77189,5.77104
0.007,1,15.38,-14.6729,5.78715,5.7863
0.009,1,15.5419,-14.6638,5.80232,5.80146
0.011,1,15.7042,-14.6546,5.81741,5.81655
0.013,1,15.8669,-14.6453,5.83242,5.83155
0.015,1,16.0299,-14.6358,5.84735,5.84647
0.017,1,16.1933,-14.6262,5.86219,5.86131
0.019,1,16.357,-14.6165,5.87696,5.87607
0.021,1,16.521,-14.6066,5.89164,5.89075
0.023,1,16.6854,-14.5966,5.90625,5.90535
0.025,1,16.8502,-14.5865,5.92077,5.91987
0.027,1,17.0152,-14.5763,5.93522,5.93432
0.029,1,17.1805,-14.566,5.94958,5.94868
0.031,1,17.3462,-14.5556,5.96387,5.96297
0.033,1,17.5121,-14.5451,5.97808,5.97717
0.035,1,17.6783,-14.5345,5.99221,5.99131
0.037,1,17.8447,-14.5238,6.00627,6.00536
0.039,1,18.0115,-14.513,6.02025,6.01934
0.041,1,18.1785,-14.5021,6.03415,6.03324
0.043,1,18.3457,-14.4912,6.04798,6.04707
0.045,1,18.5132,-14.4801,6.06173,6.06082
0.047,1,18.6809,-14.469,6.07541,6.0745
0.049,1,18.8488,-14.4579,6.08902,6.08811
0.051,1,19.017,-14.4466,6.10255,6.10165
0.053,1,19.1854,-14.4352,6.11602,6.11511
0.055,1,19.354,-14.4238,6.12941,6.1285
0.057,1,19.5229,-14.4123,6.14274,6.14183
0.059,1,19.692,-14.4007,6.156,6.15508
0.061,1,19.8613,-14.389,6.16919,6.16827
0.063,1,20.0309,-14.3772,6.18231,6.18139
0.065,1,20.2006,-14.3653,6.19537,6.19445
0.067,1,20.3707,-14.3533,6.20836,6.20744
0.069,1,20.5409,-14.3412,6.2213,6.22037
0.071,1,20.7114,-14.329,6.23416,6.23324
0.073,1,20.8821,-14.3166,6.24697,6.24604
0.075,1,21.053,-14.3041,6.25972,6.25878
0.077,1,21.2242,-14.2915,6.27241,6.27147
0.079,1,21.3956,-14.2787,6.28503,6.28409
0.081,1,21.5672,-14.2659,6.2976,6.29666
0.083,1,21.7391,-14.2528,6.31012,6.30916
0.085,1,21.9112,-14.2397,6.32257,6.32161
0.087,1,22.0835,-14.2263,6.33497,6.33401
0.089,1,22.256,-14.2129,6.34731,6.34634
0.091,1,22.4288,-14.1993,6.35959,6.35862
0.093,1,22.6018,-14.1855,6.37182,6.37085
0.095,1,22.775,-14.1716,6.384,6.38302
0.097,1,22.9484,-14.1576,6.39612,6.39513
0.099,1,23.122,-14.1434,6.40818,6.40719
0.101,1,23.2958,-14.1291,6.42019,6.4192
0.103,1,23.4698,-14.1147,6.43215,6.43115
0.105,1,23.6439,-14.1001,6.44405,6.44305
0.107,1,23.8183,-14.0854,6.4559,6.45489
0.109,1,23.9928,-14.0705,6.46769,6.46669
0.111,1,24.1675,-14.0555,6.47943,6.47842
0.113,1,24.3423,-14.0405,6.49112,6.49011
0.115,1,24.5173,-14.0252,6.50276,6.50174
0.117,1,24.6925,-14.0099,6.51434,6.51332
0.119,1,24.8678,-13.9944,6.52587,6.52485
0.121,1,25.0432,-13.9788,6.53735,6.53633
0.123,1,25.2187,-13.9631,6.54878,6.54775
0.125,1,25.3944,-13.9473,6.56015,6.55913
0.127,1,25.5702,-13.9314,6.57148,6.57045
0.129,1,25.7462,-13.9153,6.58275,6.58172
0.131,1,25.9222,-13.8992,6.59398,6.59295
0.133,1,26.0984,-13.8829,6.60516,6.60412
0.135,1,26.2747,-13.8664,6.61628,6.61525
0.137,1,26.4511,-13.8499,6.62736,6.62632
0.139,1,26.6277,-13.8332,6.63839,6.63735
0.141,1,26.8043,-13.8164,6.64938,6.64833
0.143,1,26.9811,-13.7995,6.66031,6.65926
0.145,1,27.1579,-13.7825,6.6712,6.67015
0.147,1,27.3349,-13.7653,6.68204,6.68099
0.149,1,27.5119,-13.748,6.69284,6.69178
0.151,1,27.6891,-13.7305,6.70359,6.70253
0.153,1,27.8663,-13.7129,6.71429,6.71323
0.155,1,28.0437,-13.6952,6.72495,6.72388
0.157,1,28.2211,-13.6774,6.73556,6.7345
0.159,1,28.3986,-13.6594,6.74613,6.74506
0.161,1,28.5762,-13.6413,6.75665,6.75558
0.163,1,28.7539,-13.6231,6.76713,6.76606
0.165,1,28.9316,-13.6047,6.77757,6.77649
0.167,1,29.1094,-13.5863,6.78795,6.78688
0.169,1,29.2873,-13.5677,6.7983,6.79722
0.171,1,29.4652,-13.549,6.8086,6.80752
0.173,1,29.6431,-13.5301,6.81885,6.81777
0.175,1,29.8211,-13.5112,6.82906,6.82798
0.177,1,29.999,-13.4922,6.83923,6.83815
0.179,1,30.1771,-13.4731,6.84935,6.84827
0.181,1,30.3551,-13.4539,6.85943,6.85834
0.183,1,30.5331,-13.4345,6.86947,6.86838
0.185,1,30.7111,-13.4151,6.87946,6.87837
0.187,1,30.8892,-13.3956,6.8894,6.88832
0.189,1,31.0672,-13.376,6.89931,6.89822
0.191,1,31.2452,-13.3564,6.90917,6.90808
0.193,1,31.4232,-13.3366,6.91898,6.9179
0.195,1,31.6012,-13.3168,6.92876,6.92767
0.197,1,31.7791,-13.2969,6.93849,6.9374
0.199,1,31.957,-13.2768,6.94818,6.94709
0.201,1,32.1349,-13.2568,6.95783,6.95674
0.203,1,32.3127,-13.2366,6.96743,6.96634
0.205,1,32.4906,-13.2163,6.977,6.97591
0.207,1,32.6684,-13.1959,6.98652,6.98543
0.209,1,32.8461,-13.1755,6.996,6.99492
0.211,1,33.0238,-13.155,7.00545,7.00436
0.213,1,33.2015,-13.1343,7.01485,7.01376
0.215,1,33.3792,-13.1136,7.02422,7.02312
0.217,1,33.5568,-13.0927,7.03354,7.03245
0.219,1,33.7344,-13.0717,7.04283,7.04174
0.221,1,33.9119,-13.0507,7.05208,7.05098
0.223,1,34.0895,-13.0295,7.06129,7.06019
0.225,1,34.267,-13.0082,7.07046,7.06936
0.227,1,34.4444,-12.9867,7.0796,7.0785
0.229,1,34.6218,-12.9652,7.0887,7.0876
0.231,1,34.7992,-12.9435,7.09776,7.09666
0.233,1,34.9766,-12.9217,7.10679,7.10568
0.235,1,35.1539,-12.8998,7.11578,7.11467
0.237,1,35.3311,-12.8778,7.12473,7.12362
0.239,1,35.5083,-12.8556,7.13365,7.13254
0.241,1,35.6855,-12.8333,7.14253,7.14142
0.243,1,35.8626,-12.8109,7.15138,7.15026
0.245,1,36.0397,-12.7883,7.16019,7.15907
0.247,1,36.2167,-12.7657,7.16897,7.16785
0.249,1,36.3936,-12.7429,7.17771,7.17658
0.251,1,36.5705,-12.7199,7.18641,7.18529
0.253,1,36.7473,-12.6969,7.19508,7.19395
0.255,1,36.924,-12.6738,7.20372,7.20259
0.257,1,37.1006,-12.6505,7.21232,7.21119
0.259,1,37.2771,-12.6271,7.22088,7.21975
0.261,1,37.4536,-12.6036,7.22941,7.22828
0.263,1,37.6299,-12.58,7.23791,7.23677
0.265,1,37.8062,-12.5563,7.24637,7.24523
0.267,1,37.9823,-12.5324,7.25479,7.25365
0.269,1,38.1584,-12.5085,7.26318,7.26205
0.271,1,38.3343,-12.4845,7.27154,7.2704
0.273,1,38.5101,-12.4603,7.27986,7.27872
0.275,1,38.6858,-12.436,7.28815,7.28701
0.277,1,38.8614,-12.4116,7.29641,7.29527
0.279,1,39.0369,-12.3872,7.30463,7.30349
0.281,1,39.2122,-12.3626,7.31282,7.31167
0.283,1,39.3874,-12.3378,7.32098,7.31983
0.285,1,39.5625,-12.313,7.3291,7.32795
0.287,1,39.7375,-12.2881,7.33719,7.33604
0.289,1,39.9123,-12.263,7.34525,7.34409
0.291,1,40.087,-12.2379,7.35327,7.35212
0.293,1,40.2616,-12.2126,7.36126,7.36011
0.295,1,40.436,-12.1872,7.36922,7.36807
0.297,1,40.6103,-12.1617,7.37715,7.37599
0.299,1,40.7845,-12.1361,7.38505,7.38389
0.301,1,40.9585,-12.1103,7.39291,7.39175
0.303,1,41.1323,-12.0845,7.40074,7.39958
0.305,1,41.306,-12.0585,7.40855,7.40738
0.307,1,41.4795,-12.0324,7.41631,7.41515
0.309,1,41.6529,-12.0062,7.42405,7.42289
0.311,1,41.8262,-11.9799,7.43176,7.43059
0.313,1,41.9992,-11.9535,7.43943,7.43827
0.315,1,42.1721,-11.9269,7.44708,7.44591
0.317,1,42.3448,-11.9003,7.45469,7.45352
0.319,1,42.5173,-11.8736,7.46227,7.4611
0.321,1,42.6897,-11.8467,7.46982,7.46865
0.323,1,42.8618,-11.8198,7.47734,7.47617
0.325,1,43.0337,-11.7928,7.48483,7.48365
0.327,1,43.2055,-11.7656,7.49228,7.49111
0.329,1,43.377,-11.7384,7.49971,7.49853
0.331,1,43.5484,-11.7111,7.5071,7.50593
