x,rho,E,F,T
0.001,1,-0.488716,-0.361238,0.056234
0.003,1,-0.475593,-0.351486,0.056234
0.005,1,-0.461744,-0.341002,0.056234
0.007,1,-0.44708,-0.329919,0.056234
0.009,1,-0.431625,-0.318258,0.056234
0.011,1,-0.415407,-0.306039,0.056234
0.013,1,-0.398454,-0.293284,0.056234
0.015,1,-0.380798,-0.280015,0.056234
0.017,1,-0.362469,-0.266255,0.056234
0.019,1,-0.343499,-0.25203,0.056234
0.021,1,-0.323923,-0.237364,0.056234
0.023,1,-0.303774,-0.222283,0.056234
0.025,1,-0.28309,-0.206814,0.056234
0.027,1,-0.261905,-0.190984,0.056234
0.029,1,-0.240259,-0.174821,0.056234
0.031,1,-0.218189,-0.158354,0.056234
0.033,1,-0.195734,-0.141611,0.056234
0.035,1,-0.172934,-0.124623,0.056234
0.037,1,-0.149829,-0.107419,0.056234
0.039,1,-0.12646,-0.0900303,0.056234
0.041,1,-0.102869,-0.0724865,0.056234
0.043,1,-0.0790974,-0.0548191,0.056234
0.045,1,-0.0551869,-0.0370593,0.056234
0.047,1,-0.03118,-0.0192384,0.056234
0.049,1,-0.00711915,-0.00138782,0.056234
0.051,1,0.0169531,0.0164609,0.056234
0.053,1,0.0409943,0.0342762,0.056234
0.055,1,0.0649619,0.0520268,0.056234
0.057,1,0.0888135,0.0696813,0.056234
0.059,1,0.112507,0.0872086,0.056234
0.061,1,0.136001,0.104578,0.056234
0.063,1,0.159253,0.121758,0.056234
0.065,1,0.182222,0.13872,0.056234
0.067,1,0.204869,0.155432,0.056234
0.069,1,0.227152,0.171866,0.056234
0.071,1,0.249033,0.187993,0.056234
0.073,1,0.270473,0.203784,0.056234
0.075,1,0.291433,0.219212,0.056234
0.077,1,0.311878,0.234248,0.056234
0.079,1,0.331771,0.248868,0.056234
0.081,1,0.351077,0.263045,0.056234
0.083,1,0.369762,0.276754,0.056234
0.085,1,0.387793,0.289971,0.056234
0.087,1,0.405137,0.302673,0.056234
0.089,1,0.421766,0.314837,0.056234
0.091,1,0.437648,0.326442,0.056234
0.093,1,0.452757,0.337469,0.056234
0.095,1,0.467065,0.347896,0.056234
0.097,1,0.480548,0.357707,0.056234
0.099,1,0.493181,0.366883,0.056234
0.101,1,0.504942,0.37541,0.056234
0.103,1,0.515812,0.383271,0.056234
0.105,1,0.52577,0.390453,0.056234
0.107,1,0.534798,0.396944,0.056234
0.109,1,0.542883,0.402732,0.056234
0.111,1,0.550008,0.407807,0.056234
0.113,1,0.556161,0.41216,0.056234
0.115,1,0.561332,0.415785,0.056234
