x,rho,E,F,T
0.001,1,-0.0487568,-0.16047,0.056234
0.003,1,-0.0671681,-0.182906,0.056234
0.005,1,-0.0854702,-0.205005,0.056234
0.007,1,-0.103618,-0.22674,0.056234
0.009,1,-0.12158,-0.248072,0.056234
0.011,1,-0.139324,-0.268964,0.056234
0.013,1,-0.156819,-0.289379,0.056234
0.015,1,-0.174034,-0.309281,0.056234
0.017,1,-0.190939,-0.328635,0.056234
0.019,1,-0.207504,-0.347406,0.056234
0.021,1,-0.223699,-0.365562,0.056234
0.023,1,-0.239497,-0.38307,0.056234
0.025,1,-0.25487,-0.3999,0.056234
0.027,1,-0.269789,-0.416022,0.056234
0.029,1,-0.28423,-0.431408,0.056234
0.031,1,-0.298167,-0.44603,0.056234
0.033,1,-0.311575,-0.459862,0.056234
0.035,1,-0.32443,-0.472881,0.056234
0.037,1,-0.33671,-0.485064,0.056234
0.039,1,-0.348394,-0.496388,0.056234
0.041,1,-0.359461,-0.506835,0.056234
0.043,1,-0.369891,-0.516385,0.056234
0.045,1,-0.379667,-0.525022,0.056234
0.047,1,-0.388771,-0.532731,0.056234
0.049,1,-0.397186,-0.539497,0.056234
0.051,1,-0.404899,-0.545311,0.056234
0.053,1,-0.411896,-0.55016,0.056234
0.055,1,-0.418165,-0.554037,0.056234
0.057,1,-0.423694,-0.556935,0.056234
0.059,1,-0.428474,-0.558849,0.056234
0.061,1,-0.432497,-0.559776,0.056234
0.063,1,-0.435755,-0.559713,0.056234
0.065,1,-0.438244,-0.558662,0.056234
0.067,1,-0.439959,-0.556624,0.056234
0.069,1,-0.440896,-0.553603,0.056234
0.071,1,-0.441055,-0.549605,0.056234
0.073,1,-0.440436,-0.544636,0.056234
0.075,1,-0.439038,-0.538706,0.056234
0.077,1,-0.436866,-0.531824,0.056234
0.079,1,-0.433923,-0.524004,0.056234
0.081,1,-0.430214,-0.515259,0.056234
0.083,1,-0.425746,-0.505605,0.056234
0.085,1,-0.420528,-0.495058,0.056234
0.087,1,-0.414567,-0.483638,0.056234
0.089,1,-0.407876,-0.471365,0.056234
0.091,1,-0.400465,-0.458261,0.056234
0.093,1,-0.392349,-0.444349,0.056234
0.095,1,-0.383541,-0.429653,0.056234
0.097,1,-0.374058,-0.414199,0.056234
0.099,1,-0.363915,-0.398016,0.056234
0.101,1,-0.353132,-0.381131,0.056234
