x,rho,E,F,T,Tr
0.001,1,22.3298,-22.0129,6.35281,6.3516
0.003,1,22.5776,-21.9799,6.37038,6.36914
0.005,1,22.8418,-21.9623,6.38893,6.38769
0.007,1,23.1065,-21.9445,6.40736,6.40612
0.009,1,23.3718,-21.9264,6.42568,6.42443
0.011,1,23.6378,-21.9081,6.44388,6.44263
0.013,1,23.9043,-21.8895,6.46197,6.46071
0.015,1,24.1713,-21.8707,6.47995,6.47868
0.017,1,24.4389,-21.8517,6.49781,6.49654
0.019,1,24.7071,-21.8324,6.51556,6.51429
0.021,1,24.9757,-21.813,6.5332,6.53192
0.023,1,25.2449,-21.7933,6.55073,6.54945
0.025,1,25.5146,-21.7734,6.56816,6.56687
0.027,1,25.7847,-21.7532,6.58548,6.58418
0.029,1,26.0553,-21.7329,6.60269,6.60139
0.031,1,26.3264,-21.7123,6.6198,6.6185
0.033,1,26.598,-21.6915,6.6368,6.6355
0.035,1,26.87,-21.6705,6.6537,6.6524
0.037,1,27.1424,-21.6493,6.67051,6.6692
0.039,1,27.4153,-21.6279,6.68721,6.6859
0.041,1,27.6886,-21.6062,6.70382,6.7025
0.043,1,27.9623,-21.5843,6.72033,6.719
0.045,1,28.2365,-21.5621,6.73674,6.73541
0.047,1,28.5111,-21.5397,6.75306,6.75173
0.049,1,28.7861,-21.5171,6.76929,6.76795
0.051,1,29.0615,-21.4942,6.78542,6.78408
0.053,1,29.3374,-21.471,6.80147,6.80012
0.055,1,29.6136,-21.4476,6.81743,6.81607
0.057,1,29.8902,-21.4239,6.8333,6.83194
0.059,1,30.1673,-21.4,6.84908,6.84771
0.061,1,30.4447,-21.3757,6.86477,6.8634
0.063,1,30.7225,-21.3512,6.88038,6.87901
0.065,1,31.0007,-21.3264,6.89591,6.89453
0.067,1,31.2793,-21.3013,6.91135,6.90996
0.069,1,31.5582,-21.2759,6.92671,6.92532
0.071,1,31.8375,-21.2502,6.94199,6.94059
0.073,1,32.1172,-21.2243,6.95719,6.95578
0.075,1,32.3972,-21.198,6.97231,6.97089
0.077,1,32.6775,-21.1715,6.98734,6.98592
0.079,1,32.9581,-21.1446,7.0023,7.00087
0.081,1,33.2391,-21.1175,7.01718,7.01575
