x,rho,E,F,T
0.001,1,-0.430431,-0.433523,0.056234
0.003,1,-0.437336,-0.446893,0.056234
0.005,1,-0.44357,-0.45937,0.056234
0.007,1,-0.449018,-0.471035,0.056234
0.009,1,-0.453672,-0.481868,0.056234
0.011,1,-0.457522,-0.491849,0.056234
0.013,1,-0.460563,-0.500962,0.056234
0.015,1,-0.462789,-0.50919,0.056234
0.017,1,-0.464196,-0.516518,0.056234
0.019,1,-0.464782,-0.522935,0.056234
0.021,1,-0.464546,-0.528428,0.056234
0.023,1,-0.463488,-0.532988,0.056234
0.025,1,-0.461611,-0.536608,0.056234
0.027,1,-0.458918,-0.53928,0.056234
0.029,1,-0.455413,-0.541,0.056234
0.031,1,-0.451104,-0.541766,0.056234
0.033,1,-0.445997,-0.541576,0.056234
0.035,1,-0.440103,-0.54043,0.056234
0.037,1,-0.433431,-0.538331,0.056234
0.039,1,-0.425993,-0.535282,0.056234
0.041,1,-0.417803,-0.531289,0.056234
0.043,1,-0.408875,-0.52636,0.056234
0.045,1,-0.399226,-0.520502,0.056234
0.047,1,-0.388871,-0.513726,0.056234
0.049,1,-0.377831,-0.506045,0.056234
0.051,1,-0.366124,-0.497472,0.056234
0.053,1,-0.353771,-0.488022,0.056234
0.055,1,-0.340794,-0.477712,0.056234
0.057,1,-0.327216,-0.46656,0.056234
0.059,1,-0.313061,-0.454587,0.056234
0.061,1,-0.298355,-0.441812,0.056234
0.063,1,-0.283123,-0.42826,0.056234
0.065,1,-0.267393,-0.413954,0.056234
0.067,1,-0.251191,-0.398919,0.056234
0.069,1,-0.234548,-0.383181,0.056234
0.071,1,-0.217492,-0.36677,0.056234
0.073,1,-0.200054,-0.349713,0.056234
0.075,1,-0.182264,-0.332041,0.056234
0.077,1,-0.164155,-0.313786,0.056234
0.079,1,-0.145757,-0.294979,0.056234
0.081,1,-0.127104,-0.275653,0.056234
0.083,1,-0.108229,-0.255844,0.056234
0.085,1,-0.0891653,-0.235585,0.056234
0.087,1,-0.0699462,-0.214914,0.056234
0.089,1,-0.0506058,-0.193865,0.056234
0.091,1,-0.0311785,-0.172477,0.056234
0.093,1,-0.0116985,-0.150787,0.056234
0.095,1,0.00779962,-0.128834,0.056234
0.097,1,0.0272815,-0.106656,0.056234
0.099,1,0.0467126,-0.0842927,0.056234
0.101,1,0.0660586,-0.0617833,0.056234
0.103,1,0.0852854,-0.0391676,0.056234
0.105,1,0.104359,-0.0164856,0.056234
0.107,1,0.123246,0.00622273,0.056234
0.109,1,0.141912,0.0289173,0.056234
0.111,1,0.160325,0.0515579,0.056234
0.113,1,0.178452,0.0741048,0.056234
0.115,1,0.196262,0.0965181,0.056234
0.117,1,0.213722,0.118758,0.056234
0.119,1,0.230802,0.140786,0.056234
0.121,1,0.247473,0.162563,0.056234
0.123,1,0.263703,0.18405,0.056234
0.125,1,0.279466,0.205209,0.056234
0.127,1,0.294732,0.226004,0.056234
0.129,1,0.309475,0.246397,0.056234
0.131,1,0.32367,0.266352,0.056234
0.133,1,0.337291,0.285836,0.056234
0.135,1,0.350314,0.304812,0.056234
0.137,1,0.362716,0.323247,0.056234
0.139,1,0.374475,0.34111,0.056234
0.141,1,0.385571,0.358369,0.056234
0.143,1,0.395984,0.374992,0.056234
0.145,1,0.405696,0.390952,0.056234
0.147,1,0.414689,0.40622,0.056234
0.149,1,0.422949,0.420768,0.056234
0.151,1,0.43046,0.434572,0.056234
0.153,1,0.437209,0.447608,0.056234
0.155,1,0.443185,0.459851,0.056234
0.157,1,0.448377,0.471281,0.056234
0.159,1,0.452776,0.481878,0.056234
0.161,1,0.456374,0.491623,0.056234
0.163,1,0.459165,0.500498,0.056234
0.165,1,0.461145,0.508489,0.056234
0.167,1,0.462309,0.515581,0.056234
0.169,1,0.462656,0.521762,0.056234
0.171,1,0.462186,0.527021,0.056234
0.173,1,0.460899,0.531349,0.056234
0.175,1,0.458798,0.534739,0.056234
0.177,1,0.455886,0.537184,0.056234
0.179,1,0.452169,0.53868,0.056234
0.181,1,0.447654,0.539225,0.056234
0.183,1,0.442349,0.538817,0.056234
0.185,1,0.436263,0.537459,0.056234
0.187,1,0.429406,0.535151,0.056234
0.189,1,0.421792,0.531899,0.056234
0.191,1,0.413434,0.527708,0.056234
0.193,1,0.404347,0.522586,0.056234
0.195,1,0.394546,0.516542,0.056234
0.197,1,0.38405,0.509586,0.056234
0.199,1,0.372877,0.501731,0.056234
0.201,1,0.361046,0.492991,0.056234
0.203,1,0.34858,0.483382,0.056234
0.205,1,0.335499,0.47292,0.056234
0.207,1,0.321828,0.461624,0.056234
