x,rho,E,F,T
0.001,1,0.540308,0.406756,0.056234
0.003,1,0.530287,0.402495,0.056234
0.005,1,0.519505,0.39735,0.056234
0.007,1,0.507849,0.391462,0.056234
0.009,1,0.49534,0.384841,0.056234
0.011,1,0.481998,0.377501,0.056234
0.013,1,0.467846,0.369455,0.056234
0.015,1,0.452908,0.36072,0.056234
0.017,1,0.437209,0.351311,0.056234
0.019,1,0.420776,0.341248,0.056234
0.021,1,0.403635,0.330549,0.056234
0.023,1,0.385818,0.319235,0.056234
0.025,1,0.367352,0.307327,0.056234
0.027,1,0.348271,0.294848,0.056234
0.029,1,0.328605,0.281821,0.056234
0.031,1,0.30839,0.26827,0.056234
0.033,1,0.287658,0.254222,0.056234
0.035,1,0.266446,0.239701,0.056234
0.037,1,0.24479,0.224736,0.056234
0.039,1,0.222726,0.209353,0.056234
0.041,1,0.200293,0.193583,0.056234
0.043,1,0.177528,0.177452,0.056234
0.045,1,0.154472,0.160992,0.056234
0.047,1,0.131163,0.144233,0.056234
0.049,1,0.107641,0.127205,0.056234
0.051,1,0.0839484,0.109939,0.056234
0.053,1,0.0601245,0.092467,0.056234
0.055,1,0.0362109,0.0748209,0.056234
0.057,1,0.012249,0.0570325,0.056234
0.059,1,-0.0117196,0.0391342,0.056234
0.061,1,-0.0356535,0.0211582,0.056234
0.063,1,-0.0595108,0.00313704,0.056234
0.065,1,-0.0832503,-0.0148968,0.056234
0.067,1,-0.106831,-0.032911,0.056234
0.069,1,-0.13021,-0.050873,0.056234
0.071,1,-0.153349,-0.0687508,0.056234
0.073,1,-0.176206,-0.0865123,0.056234
0.075,1,-0.198742,-0.104126,0.056234
0.077,1,-0.220917,-0.12156,0.056234
0.079,1,-0.242692,-0.138783,0.056234
0.081,1,-0.26403,-0.155765,0.056234
0.083,1,-0.284892,-0.172476,0.056234
0.085,1,-0.305243,-0.188885,0.056234
0.087,1,-0.325046,-0.204964,0.056234
0.089,1,-0.344267,-0.220684,0.056234
0.091,1,-0.362873,-0.236017,0.056234
0.093,1,-0.38083,-0.250936,0.056234
0.095,1,-0.398107,-0.265415,0.056234
0.097,1,-0.414675,-0.279427,0.056234
0.099,1,-0.430503,-0.292948,0.056234
0.101,1,-0.445564,-0.305954,0.056234
0.103,1,-0.459832,-0.318423,0.056234
0.105,1,-0.473282,-0.330331,0.056234
0.107,1,-0.48589,-0.341658,0.056234
0.109,1,-0.497634,-0.352384,0.056234
0.111,1,-0.508493,-0.36249,0.056234
0.113,1,-0.518449,-0.371958,0.056234
0.115,1,-0.527485,-0.380772,0.056234
0.117,1,-0.535584,-0.388915,0.056234
0.119,1,-0.542732,-0.396373,0.056234
0.121,1,-0.548917,-0.403134,0.056234
0.123,1,-0.554128,-0.409185,0.056234
0.125,1,-0.558356,-0.414516,0.056234
0.127,1,-0.561595,-0.419117,0.056234
0.129,1,-0.563837,-0.42298,0.056234
0.131,1,-0.56508,-0.426098,0.056234
0.133,1,-0.565322,-0.428467,0.056234
0.135,1,-0.564562,-0.430081,0.056234
0.137,1,-0.562802,-0.430938,0.056234
0.139,1,-0.560044,-0.431037,0.056234
0.141,1,-0.556295,-0.430377,0.056234
0.143,1,-0.551561,-0.42896,0.056234
0.145,1,-0.545851,-0.426788,0.056234
0.147,1,-0.539174,-0.423865,0.056234
0.149,1,-0.531543,-0.420196,0.056234
0.151,1,-0.522971,-0.415788,0.056234
0.153,1,-0.513474,-0.410648,0.056234
0.155,1,-0.503068,-0.404786,0.056234
0.157,1,-0.491772,-0.398213,0.056234
0.159,1,-0.479607,-0.390939,0.056234
0.161,1,-0.466593,-0.382978,0.056234
0.163,1,-0.452754,-0.374344,0.056234
0.165,1,-0.438115,-0.365052,0.056234
0.167,1,-0.422702,-0.355118,0.056234
0.169,1,-0.406541,-0.344561,0.056234
0.171,1,-0.389661,-0.333399,0.056234
0.173,1,-0.372094,-0.321651,0.056234
0.175,1,-0.353869,-0.309339,0.056234
0.177,1,-0.335018,-0.296484,0.056234
0.179,1,-0.315576,-0.283108,0.056234
0.181,1,-0.295577,-0.269237,0.056234
0.183,1,-0.275056,-0.254894,0.056234
0.185,1,-0.25405,-0.240104,0.056234
0.187,1,-0.232595,-0.224893,0.056234
0.189,1,-0.21073,-0.20929,0.056234
0.191,1,-0.188494,-0.19332,0.056234
0.193,1,-0.165925,-0.177013,0.056234
0.195,1,-0.143064,-0.160397,0.056234
0.197,1,-0.119952,-0.143501,0.056234
0.199,1,-0.0966279,-0.126356,0.056234
0.201,1,-0.0731346,-0.108991,0.056234
0.203,1,-0.0495131,-0.0914375,0.056234
0.205,1,-0.0258052,-0.0737264,0.056234
0.207,1,-0.00205294,-0.0558887,0.056234
0.209,1,0.0217018,-0.0379561,0.056234
0.211,1,0.045417,-0.0199602,0.056234
0.213,1,0.0690507,-0.00193267,0.056234
0.215,1,0.0925612,0.0160946,0.056234
0.217,1,0.115907,0.0340899,0.056234
0.219,1,0.139047,0.0520214,0.056234
0.221,1,0.161939,0.0698575,0.056234
0.223,1,0.184545,0.0875667,0.056234
0.225,1,0.206823,0.105118,0.056234
0.227,1,0.228735,0.12248,0.056234
0.229,1,0.250241,0.139623,0.056234
0.231,1,0.271304,0.156515,0.056234
0.233,1,0.291886,0.173129,0.056234
0.235,1,0.311952,0.189433,0.056234
0.237,1,0.331465,0.2054,0.056234
0.239,1,0.350392,0.221001,0.056234
0.241,1,0.368699,0.236209,0.056234
0.243,1,0.386353,0.250997,0.056234
0.245,1,0.403324,0.265339,0.056234
0.247,1,0.419582,0.27921,0.056234
0.249,1,0.435097,0.292586,0.056234
0.251,1,0.449844,0.305442,0.056234
0.253,1,0.463794,0.317757,0.056234
0.255,1,0.476925,0.329509,0.056234
0.257,1,0.489213,0.340676,0.056234
0.259,1,0.500636,0.35124,0.056234
0.261,1,0.511174,0.361182,0.056234
0.263,1,0.520808,0.370485,0.056234
0.265,1,0.529523,0.379132,0.056234
0.267,1,0.537301,0.387107,0.056234
0.269,1,0.544131,0.394398,0.056234
0.271,1,0.549999,0.400991,0.056234
0.273,1,0.554895,0.406875,0.056234
0.275,1,0.558812,0.41204,0.056234
0.277,1,0.561741,0.416476,0.056234
0.279,1,0.563679,0.420176,0.056234
0.281,1,0.564621,0.423134,0.056234
0.283,1,0.564566,0.425343,0.056234
0.285,1,0.563514,0.426802,0.056234
0.287,1,0.561468,0.427507,0.056234
0.289,1,0.558431,0.427456,0.056234
0.291,1,0.554407,0.426651,0.056234
0.293,1,0.549406,0.425093,0.056234
0.295,1,0.543435,0.422785,0.056234
0.297,1,0.536505,0.41973,0.056234
0.299,1,0.528629,0.415936,0.056234
0.301,1,0.51982,0.411407,0.056234
0.303,1,0.510094,0.406153,0.056234
0.305,1,0.499468,0.400182,0.056234
0.307,1,0.487962,0.393506,0.056234
0.309,1,0.475596,0.386137,0.056234
0.311,1,0.462391,0.378086,0.056234
0.313,1,0.448371,0.36937,0.056234
0.315,1,0.433561,0.360003,0.056234
0.317,1,0.417987,0.350002,0.056234
0.319,1,0.401677,0.339385,0.056234
0.321,1,0.384659,0.328171,0.056234
0.323,1,0.366964,0.316379,0.056234
0.325,1,0.348623,0.30403,0.056234
0.327,1,0.329668,0.291147,0.056234
0.329,1,0.310134,0.277752,0.056234
0.331,1,0.290054,0.263869,0.056234
0.333,1,0.269464,0.249522,0.056234
0.335,1,0.248401,0.234737,0.056234
0.337,1,0.226901,0.219541,0.056234
0.339,1,0.205004,0.203959,0.056234
0.341,1,0.182747,0.18802,0.056234
0.343,1,0.160169,0.171751,0.056234
0.345,1,0.137312,0.155182,0.056234
0.347,1,0.114215,0.138342,0.056234
0.349,1,0.0909189,0.12126,0.056234
0.351,1,0.0674651,0.103968,0.056234
0.353,1,0.0438949,0.0864942,0.056234
0.355,1,0.0202501,0.068871,0.056234
0.357,1,-0.00342762,0.0511292,0.056234
0.359,1,-0.0270964,0.0333001,0.056234
0.361,1,-0.0507144,0.0154152,0.056234
0.363,1,-0.0742399,-0.00249401,0.056234
0.365,1,-0.0976314,-0.0203958,0.056234
0.367,1,-0.120848,-0.0382586,0.056234
0.369,1,-0.143847,-0.0560508,0.056234
0.371,1,-0.16659,-0.0737411,0.056234
0.373,1,-0.189036,-0.0912984,0.056234
0.375,1,-0.211145,-0.108691,0.056234
0.377,1,-0.232878,-0.12589,0.056234
0.379,1,-0.254197,-0.142863,0.056234
0.381,1,-0.275065,-0.159581,0.056234
0.383,1,-0.295443,-0.176015,0.056234
0.385,1,-0.315298,-0.192135,0.056234
0.387,1,-0.334592,-0.207914,0.056234
0.389,1,-0.353293,-0.223322,0.056234
0.391,1,-0.371368,-0.238334,0.056234
0.393,1,-0.388784,-0.252923,0.056234
0.395,1,-0.405511,-0.267063,0.056234
0.397,1,-0.42152,-0.280729,0.056234
0.399,1,-0.436781,-0.293897,0.056234
0.401,1,-0.451269,-0.306544,0.056234
0.403,1,-0.464958,-0.318648,0.056234
0.405,1,-0.477823,-0.330188,0.056234
0.407,1,-0.489842,-0.341143,0.056234
0.409,1,-0.500994,-0.351493,0.056234
0.411,1,-0.51126,-0.361222,0.056234
0.413,1,-0.52062,-0.370311,0.056234
0.415,1,-0.529059,-0.378745,0.056234
0.417,1,-0.536563,-0.386509,0.056234
0.419,1,-0.543117,-0.39359,0.056234
0.421,1,-0.54871,-0.399974,0.056234
0.423,1,-0.553333,-0.405652,0.056234
0.425,1,-0.556977,-0.410612,0.056234
0.427,1,-0.559636,-0.414847,0.056234
0.429,1,-0.561306,-0.418349,0.056234
0.431,1,-0.561983,-0.421112,0.056234
0.433,1,-0.561667,-0.423131,0.056234
0.435,1,-0.560358,-0.424403,0.056234
0.437,1,-0.558058,-0.424926,0.056234
0.439,1,-0.554772,-0.424698,0.056234
0.441,1,-0.550506,-0.423721,0.056234
0.443,1,-0.545268,-0.421996,0.056234
0.445,1,-0.539065,-0.419527,0.056234
0.447,1,-0.531911,-0.416317,0.056234
0.449,1,-0.523817,-0.412373,0.056234
0.451,1,-0.514797,-0.407702,0.056234
0.453,1,-0.504869,-0.402312,0.056234
0.455,1,-0.494049,-0.396213,0.056234
0.457,1,-0.482357,-0.389415,0.056234
0.459,1,-0.469813,-0.381932,0.056234
0.461,1,-0.456439,-0.373775,0.056234
0.463,1,-0.44226,-0.36496,0.056234
0.465,1,-0.427301,-0.355503,0.056234
0.467,1,-0.411587,-0.345419,0.056234
0.469,1,-0.395148,-0.334728,0.056234
0.471,1,-0.378011,-0.323447,0.056234
0.473,1,-0.360208,-0.311598,0.056234
0.475,1,-0.341769,-0.2992,0.056234
0.477,1,-0.322728,-0.286277,0.056234
0.479,1.00001,-0.303118,-0.27285,0.056234
0.481,1.00002,-0.282973,-0.258945,0.056234
0.483,1.00005,-0.262331,-0.244584,0.056234
0.485,1.00013,-0.241226,-0.229794,0.056234
0.487,1.00034,-0.219696,-0.214602,0.056234
0.489,1.00083,-0.19778,-0.199033,0.056234
0.491,1.00199,-0.175516,-0.183115,0.056234
0.493,1.00456,-0.152944,-0.166877,0.056234
0.495,1.01004,-0.130103,-0.150347,0.056234
0.497,1.02134,-0.107034,-0.133555,0.056234
0.499,1.04372,-0.0837768,-0.11653,0.056234
0.501,1.08648,-0.0603732,-0.0993018,0.056234
0.503,1.16534,-0.036864,-0.0819018,0.056234
0.505,1.30571,-0.0132903,-0.0643604,0.056234
0.507,1.54715,0.0103067,-0.0467089,0.056234
0.509,1.94861,0.0338859,-0.0289787,0.056234
0.511,2.59432,0.057406,-0.0112018,0.056234
0.513,3.59939,0.0808256,0.00658939,0.056234
0.515,5.11403,0.104102,0.0243618,0.056234
0.517,7.32494,0.127192,0.0420812,0.056234
0.519,10.452,0.150047,0.0597121,0.056234
0.521,14.7388,0.172617,0.0772171,0.056234
0.523,20.4368,0.194842,0.0945563,0.056234
0.525,27.7818,0.216656,0.111687,0.056234
0.527,36.9665,0.237983,0.128563,0.056234
0.529,48.1098,0.258734,0.145134,0.056234
0.531,61.2295,0.278809,0.161348,0.056234
0.533,76.2213,0.2981,0.177145,0.056234
0.535,92.85,0.316489,0.192468,0.056234
0.537,110.755,0.333858,0.207256,0.056234
0.539,129.472,0.350092,0.221447,0.056234
0.541,148.468,0.365086,0.234983,0.056234
0.543,167.185,0.37875,0.247808,0.056234
0.545,185.09,0.391018,0.259874,0.056234
0.547,201.718,0.401847,0.271136,0.056234
0.549,216.71,0.41122,0.281558,0.056234
0.551,229.83,0.419148,0.291112,0.056234
0.553,240.973,0.425661,0.299777,0.056234
0.555,250.158,0.43081,0.30754,0.056234
0.557,257.503,0.434654,0.314394,0.056234
0.559,263.201,0.437263,0.320337,0.056234
0.561,267.488,0.438708,0.325374,0.056234
0.563,270.615,0.439058,0.329514,0.056234
0.565,272.826,0.438378,0.332767,0.056234
0.567,274.34,0.436729,0.33515,0.056234
0.569,275.345,0.434167,0.336679,0.056234
0.571,275.991,0.430742,0.337374,0.056234
0.573,276.393,0.426498,0.337257,0.056234
0.575,276.634,0.421479,0.336351,0.056234
0.577,276.774,0.415723,0.33468,0.056234
0.579,276.853,0.40927,0.33227,0.056234
0.581,276.896,0.402155,0.329149,0.056234
0.583,276.918,0.394416,0.325343,0.056234
0.585,276.93,0.386087,0.320882,0.056234
