x,rho,E,F,T,Tr
0.001,1,20.0751,-19.7918,6.18593,6.1848
0.003,1,20.2919,-19.7627,6.20257,6.20143
0.005,1,20.5236,-19.7478,6.2202,6.21906
0.007,1,20.7558,-19.7327,6.23772,6.23658
0.009,1,20.9886,-19.7174,6.25514,6.25399
0.011,1,21.2218,-19.7019,6.27244,6.27129
0.013,1,21.4555,-19.6863,6.28964,6.28848
0.015,1,21.6896,-19.6705,6.30673,6.30557
0.017,1,21.9242,-19.6546,6.32371,6.32255
0.019,1,22.1593,-19.6384,6.34059,6.33943
0.021,1,22.3947,-19.6221,6.35737,6.35621
0.023,1,22.6306,-19.6056,6.37405,6.37288
0.025,1,22.867,-19.589,6.39062,6.38945
0.027,1,23.1037,-19.5722,6.4071,6.40593
0.029,1,23.3409,-19.5552,6.42348,6.42231
0.031,1,23.5785,-19.538,6.43976,6.43859
0.033,1,23.8165,-19.5207,6.45595,6.45477
0.035,1,24.0549,-19.5031,6.47205,6.47086
0.037,1,24.2937,-19.4854,6.48806,6.48686
0.039,1,24.5329,-19.4674,6.50397,6.50277
0.041,1,24.7725,-19.4493,6.5198,6.51859
0.043,1,25.0125,-19.4309,6.53553,6.53433
0.045,1,25.2529,-19.4123,6.55118,6.54997
0.047,1,25.4937,-19.3935,6.56675,6.56553
0.049,1,25.7349,-19.3745,6.58223,6.581
0.051,1,25.9764,-19.3552,6.59762,6.59639
0.053,1,26.2184,-19.3357,6.61293,6.6117
0.055,1,26.4607,-19.316,6.62817,6.62692
0.057,1,26.7034,-19.296,6.64332,6.64207
0.059,1,26.9465,-19.2758,6.65839,6.65713
0.061,1,27.1899,-19.2554,6.67338,6.67212
0.063,1,27.4337,-19.2347,6.68829,6.68702
0.065,1,27.6779,-19.2137,6.70312,6.70185
0.067,1,27.9224,-19.1925,6.71788,6.7166
0.069,1,28.1672,-19.1711,6.73256,6.73127
0.071,1,28.4123,-19.1495,6.74716,6.74587
0.073,1,28.6578,-19.1276,6.76169,6.76039
0.075,1,28.9035,-19.1054,6.77614,6.77484
0.077,1,29.1496,-19.0831,6.79052,6.78921
0.079,1,29.3959,-19.0605,6.80482,6.80351
0.081,1,29.6425,-19.0377,6.81905,6.81774
0.083,1,29.8894,-19.0146,6.83321,6.83189
