E,F_x,F_y,T,Tr
8.94876,0.0318437,-0.303479,5.02659,5.05362
8.6392,0.012412,-0.00143378,4.9712,5.00933
8.40578,-0.0985264,0.0717325,4.98134,4.97515
8.56201,-0.0237107,0.00229185,5.01232,4.99811
8.61354,0.019041,0.000772319,5.00584,5.00561
8.89789,0.393225,-0.284887,5.18595,5.04642
9.21462,0.602701,-0.0580245,5.04341,5.09074
8.50838,0.0343576,0.0342033,4.95252,4.99026
8.55481,-0.0100987,0.00107306,5.00141,4.99705
8.59305,0.000493234,0.00122199,5,5.00263
8.89347,0.390708,0.285409,5.18603,5.04579
9.23121,0.60285,0.0412333,5.04619,5.09303
8.51634,0.0364384,-0.0377156,4.95361,4.99143
8.55218,-0.00975186,-0.000100452,5.00137,4.99667
8.58614,0.000318443,4.87969e-05,5,5.00162
8.93322,0.0194361,0.330345,5.02459,5.05142
8.64673,0.00601674,-0.00773632,4.97846,5.01042
8.40826,-0.0419918,-0.057048,4.98443,4.97552
8.58809,-0.0026847,-0.000361275,5.00387,5.00191
8.58693,0.000713225,0.00249349,5,5.00174
8.6143,0.00914642,-0.013364,4.98214,5.00572
8.46112,-0.052568,-0.077434,4.98319,4.98332
8.51688,-0.0299337,-0.0214831,5.00656,4.99151
8.61728,0.0112431,-7.43768e-05,5.00204,5.00615
8.60034,0.00662611,0.00505682,5.00023,5.00369
