E,F_x,F_y,T,Tr
8.21423,-0.0430441,0.299579,4.97705,4.94656
8.53014,-0.0179636,-0.00541786,5.03097,4.99345
8.7551,0.0883721,-0.0735155,5.0194,5.02605
8.60493,0.0168653,-0.00412275,4.99149,5.00436
8.56714,-0.0213834,0.000737163,4.99912,4.99885
8.22179,-0.440392,0.288405,4.79091,4.9477
7.93917,-0.607279,0.0549267,4.95913,4.90462
8.65604,-0.0335451,-0.0345298,5.04702,5.01177
8.63489,0.00916476,-0.0016933,5.00514,5.00871
8.59631,0.000298553,-0.0006018,5,5.0031
8.22439,-0.437895,-0.286642,4.79047,4.94809
7.91993,-0.608522,-0.0356652,4.95578,4.90164
8.64608,-0.0363299,0.0378284,5.04574,5.01033
8.63961,0.00885941,0.000195717,5.00533,5.00939
8.60375,0.000770473,0.00126161,5,5.00419
8.22502,-0.0284219,-0.32416,4.97827,4.94818
8.51381,-0.00907722,0.0164988,5.02262,4.99106
8.74577,0.0380389,0.0558326,5.01531,5.02471
8.59627,0.00169535,0.000774817,5.00173,5.0031
8.60071,-0.000262347,-0.00143141,5,5.00374
8.55222,-0.0181629,0.0241684,5.02505,4.99668
8.69979,0.0447438,0.0848668,5.01793,5.01809
8.64046,0.0192588,0.0203316,4.99481,5.00951
8.55222,-0.0152549,0.000857699,4.99669,4.99668
8.58011,-0.00399706,-0.00491469,5.0055,5.00075
