E,F_x,F_y,T,Tr
8.76154,0.00868716,-0.0596319,4.97224,5.02697
8.38487,-0.113575,0.10659,4.96522,4.97205
8.46837,-0.0786582,0.0108665,5.01265,4.98438
8.6691,0.0290699,0.00133192,5.01432,5.01366
8.63683,0.0512389,0.00625007,5.0059,5.00899
9.95911,1.10832,-0.164944,5.13977,5.19059
8.86558,0.117533,0.0687105,4.94982,5.04183
8.26237,-0.162616,0.0238514,4.96966,4.95379
8.62759,-0.00614077,0.000765967,5.01308,5.00765
8.59798,0.00586313,0.00426308,5,5.00335
9.96171,1.10714,0.147026,5.14093,5.19093
8.8878,0.117332,-0.078525,4.95128,5.04499
8.2757,-0.162841,-0.036763,4.97116,4.95579
8.62156,-0.00581042,0.00061127,5.01275,5.00677
8.58849,0.00587953,0.00158491,5,5.00197
8.7527,-0.0062552,0.0708165,4.9737,5.0257
8.43885,-0.132012,-0.133173,4.97339,4.98003
8.49409,-0.0602661,-0.0225093,5.01683,4.98816
8.62563,0.00305751,0.000537496,5.00701,5.00736
8.58466,0.00267114,0.000842609,5,5.00141
8.46347,-0.025537,-0.11884,4.97905,4.98366
8.48101,-0.0577607,-0.0305983,5.00518,4.98624
8.65034,0.0275819,0.0526007,5.01948,5.01095
8.65543,0.0351824,7.39677e-05,5.00809,5.01168
8.59829,0.0187657,-0.00017642,5,5.00339
