E,F_x,F_y,T,Tr
8.38622,-0.0287705,0.239751,4.94613,4.97225
8.33879,-0.129491,0.0967103,4.9965,4.96521
8.66203,0.0220844,-0.0703403,5.03302,5.01264
8.70804,0.0568856,-0.000600863,5.01432,5.01928
8.61559,0.0334115,0.00108724,5,5.00591
9.57554,0.660795,0.123263,4.94442,5.13987
8.23608,-0.494535,0.120218,4.90997,4.94985
8.36857,-0.191468,-0.0140632,5.02303,4.96963
8.66506,0.00497867,-8.39195e-05,5.01373,5.01308
8.5886,0.00552973,0.00079551,5,5.00198
9.58422,0.662445,-0.140576,4.94558,5.14104
8.24579,-0.494241,-0.110804,4.90919,4.9513
8.37865,-0.193299,0.00410626,5.02378,4.97113
8.66278,0.00481308,0.000788845,5.0138,5.01275
8.58582,0.00553576,0.000701059,5,5.00158
8.39612,-0.0313976,-0.255573,4.94984,4.97372
8.39382,-0.143374,-0.111135,4.99886,4.97338
8.69099,-0.0179799,0.0404285,5.03328,5.01682
8.62322,0.00634155,0.0010627,5.00435,5.00701
8.57946,0.00152913,0.000901547,5,5.00065
8.43213,-0.0384446,-0.0944615,4.99768,4.97904
8.61053,-0.00752193,0.0546533,5.02565,5.00517
8.72894,0.0630043,0.0814479,5.01948,5.02229
8.63063,0.0269753,0.000635864,5,5.00809
8.58224,0.00577069,0.000309948,5,5.00105
