E,F_x,F_y,T,Tr
8.79318,-0.00538985,-0.258204,5.0558,5.03151
8.84232,0.0905505,-0.137949,5.00924,5.03852
8.53436,-0.0404735,0.0222193,4.9758,4.99407
8.51675,-0.0410901,0.000776996,5.00077,4.99149
8.59879,0.0154135,0.0147692,5.0059,5.00346
7.60278,-0.709621,-0.134475,5.05683,4.85182
8.93728,0.436447,-0.142731,5.09135,5.05199
8.82074,0.169217,-0.00280633,4.98852,5.03544
8.58516,-0.00372405,0.000155956,5.00228,5.00148
8.60676,0.000966912,0.00949377,5,5.00462
7.59635,-0.71556,0.138425,5.05624,4.85079
8.93236,0.431789,0.118454,5.09358,5.0513
8.82104,0.171002,-0.0035448,4.99003,5.03549
8.58106,-0.00298858,-0.000162183,5.00123,5.00088
8.59351,0.00137314,0.00356442,5,5.0027
8.78773,-0.0187789,0.272829,5.05364,5.03073
8.79462,0.0879567,0.149962,5.01017,5.03171
8.51124,0.000575924,-0.02358,4.97614,4.99068
8.59268,-0.00446698,-0.000932234,5.00523,5.00258
8.59748,0.00217931,-0.00311052,5,5.00327
8.74823,0.00675534,0.129912,5.00682,5.02506
8.58192,-0.0161181,0.000207327,4.98625,5.00101
8.48303,-0.0541008,-0.0361268,4.99403,4.98654
8.59317,-0.00333417,-0.00168621,5.00809,5.00265
8.61283,0.0295608,-0.00618027,5.0055,5.00551
