E,F_x,F_y,T,Tr
8.38413,-0.0135738,0.248214,4.94658,4.97194
8.32202,-0.107091,0.125848,4.99347,4.96271
8.62465,0.0236977,-0.0341325,5.02605,5.00722
8.65838,0.0373866,-0.00326276,5.00435,5.01211
8.59251,-0.00275484,-0.00548284,4.99912,5.00255
9.57904,0.701195,0.127604,4.9476,5.14034
8.22367,-0.4497,0.138307,4.90465,4.94798
8.32759,-0.18093,-0.000340587,5.01179,4.96354
8.62893,0.00244575,-0.00102919,5.0087,5.00784
8.59427,0.00196511,-0.00460037,5,5.00281
9.5831,0.705901,-0.134083,4.94799,5.14089
8.22493,-0.447806,-0.11661,4.90168,4.94817
8.3256,-0.183887,0.00189826,5.01035,4.96324
8.63273,0.0019717,0.000426024,5.00938,5.00839
8.6043,0.00208535,-0.000467575,5,5.00427
8.38303,-0.0020841,-0.260964,4.9482,4.97178
8.35854,-0.106293,-0.13901,4.99108,4.96814
8.63939,-0.0109575,0.0238947,5.0247,5.00936
8.60848,0.00361959,0.00142585,5.00309,5.00487
8.59791,-0.000236579,0.00215516,5,5.00334
8.42125,-0.024004,-0.114863,4.99669,4.97743
8.58108,0.0022627,0.0204162,5.01793,5.00089
8.68138,0.0438674,0.0452225,5.00951,5.01544
8.58824,0.00538325,0.0021366,4.99669,5.00193
8.57653,-0.0111856,0.000686978,5.0055,5.00022
