E,F_x,F_y,T,Tr
8.75343,0.0232101,-0.0544659,4.97192,5.02581
8.3736,-0.0932887,0.128014,4.96273,4.97038
8.44744,-0.0708023,0.037511,5.00723,4.9813
8.63763,0.0173266,-0.000548197,5.01211,5.0091
8.61796,0.0188857,-0.00478049,4.99912,5.00625
9.93203,1.12632,-0.160251,5.14024,5.18706
8.86253,0.156385,0.0821679,4.94795,5.0414
8.2483,-0.14961,0.0340887,4.96357,4.95168
8.59415,-0.00739889,0.000200781,5.00785,5.00279
8.59688,0.00239621,-0.00356736,5,5.00319
9.93234,1.1285,0.152981,5.14078,5.1871
8.88161,0.158774,-0.0784693,4.94814,5.04411
8.25523,-0.150286,-0.0363947,4.96327,4.95272
8.59453,-0.00754324,0.000307346,5.0084,5.00284
8.60009,0.00220093,-0.000910876,5,5.00365
8.73839,0.0211181,0.0676187,4.97176,5.02365
8.42188,-0.100724,-0.15176,4.96816,4.97753
8.46789,-0.0523374,-0.0327992,5.00937,4.98431
8.60854,0.00131893,0.000973784,5.00487,5.00488
8.59516,0.000421452,0.00419172,5,5.00294
8.45148,-0.01133,-0.133431,4.97745,4.9819
8.45979,-0.0470661,-0.0592614,5.0009,4.98312
8.61951,0.0193943,0.0253176,5.01543,5.00648
8.6214,0.0191254,0.00189233,5.00193,5.00675
8.5887,-0.00374042,0.00514709,5.00023,5.002
