E,F_x,F_y,T,Tr
8.20698,-0.0369832,0.306076,4.97442,4.94547
8.52256,-0.0179663,0.00315642,5.02966,4.99234
8.75602,0.0892146,-0.0686053,5.0198,5.02618
8.60695,0.0166969,-0.00317342,4.99046,5.00465
8.56359,-0.0283011,-0.00503844,4.99829,4.99834
8.2458,-0.412945,0.289971,4.79084,4.9513
7.93963,-0.608062,0.0595903,4.95722,4.90469
8.65285,-0.035026,-0.0329327,5.04715,5.01131
8.62085,0.00940761,-0.00135858,5.00258,5.00667
8.58747,-0.000906492,-0.00313887,5,5.00182
8.24979,-0.410323,-0.286838,4.79067,4.9519
7.92245,-0.608313,-0.0390465,4.95423,4.90203
8.64402,-0.0373661,0.0376885,5.04602,5.01003
8.62707,0.00903085,0.000119858,5.00321,5.00757
8.59558,-0.000553435,0.000292226,5,5.003
8.22072,-0.0222384,-0.329871,4.97615,4.94754
8.51167,-0.00763284,0.00914284,5.02222,4.99074
8.74959,0.0399557,0.05562,5.01621,5.02526
8.58631,0.00199983,0.000660016,4.99993,5.00165
8.59239,-0.00119273,0.000122271,5,5.00253
8.54306,-0.0135185,0.015138,5.02336,4.99534
8.69717,0.0463426,0.0770315,5.0175,5.01771
8.64293,0.0209918,0.0183703,4.99477,5.00987
8.55056,-0.0173256,0.000893225,4.99571,4.99643
8.57496,-0.0145409,0.000243526,5.00023,4.99999
