E,F_x,F_y,T,Tr
8.77489,-0.0233731,-0.300532,5.05512,5.02889
8.88974,0.0983963,-0.19013,5.02403,5.04526
8.67339,0.0430425,-0.0395896,5,5.01428
8.575,0,0,5,5
8.575,0,0,5,5
7.57569,-0.655338,-0.142357,5.04946,4.84749
9.01008,0.451578,-0.153842,5.10434,5.06225
9.01955,0.202977,-0.0253417,5.0286,5.06358
8.5966,0.00542288,-2.77556e-17,5,5.00315
8.575,0,0,5,5
7.57156,-0.655341,0.145817,5.04946,4.84683
9.01008,0.451578,0.153842,5.10434,5.06225
9.01955,0.202977,0.0253417,5.0286,5.06358
8.5966,0.00526807,0,5,5.00315
8.575,0,0,5,5
8.77926,-0.023377,0.299991,5.05379,5.02951
8.86946,0.0965279,0.205285,5.02403,5.04238
8.67339,0.0275633,0.0253521,5,5.01428
8.575,0,2.77556e-17,5,5
8.575,0,0,5,5
8.76768,0,0.190337,5.01561,5.02785
8.6617,0.0215212,0.051294,5,5.01259
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
