E,F_x,F_y,T,Tr
8.41844,-0.0377138,0.0460638,5.03152,4.97702
8.78939,0.0823534,-0.13568,5.0385,5.03096
8.70895,0.0571756,-0.0435995,4.99405,5.01941
8.53232,-0.0230388,-0.00221568,4.99149,4.99377
8.56896,-0.014761,0.00975593,5.0059,4.99912
7.22788,-1.14678,0.156824,4.85196,4.79087
8.29766,-0.159727,-0.0846697,5.05202,4.95907
8.90221,0.142464,-0.0350898,5.03541,5.04703
8.61038,0.00603677,-0.00112847,5.00148,5.00515
8.60219,-0.000482131,0.00569859,5,5.00396
7.22521,-1.14937,-0.148975,4.85093,4.79042
8.2753,-0.163962,0.0820573,5.05132,4.95573
8.89318,0.142062,0.0352352,5.03546,5.04575
8.61169,0.00629148,-0.000120929,5.00088,5.00534
8.59896,9.74752e-05,0.00301035,5,5.00349
8.42668,-0.0345902,-0.0567924,5.03074,4.97824
8.73119,0.090292,0.159673,5.0317,5.02261
8.68063,0.0444804,0.0315529,4.99067,5.01533
8.58686,-0.00244875,-0.000369244,5.00258,5.00173
8.60097,0.000737595,-0.0036854,5,5.00378
8.71465,-0.00163276,0.145513,5.02505,5.02023
8.69874,0.0364671,0.0726398,5.001,5.01794
8.53946,-0.0299527,-0.0222016,4.98654,4.99481
8.55229,-0.0207045,-0.000894846,5.00265,4.99669
8.5974,0.0143177,-0.00764684,5.0055,5.00326
