E,F_x,F_y,T,Tr
8.9595,0,-0.387681,5.03543,5.05513
8.74116,0.0491299,-0.0903875,5,5.02405
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.91886,0.519282,-0.304623,5.18242,5.04939
9.31368,0.677809,-0.0902483,5.06462,5.10437
8.77302,0.106493,0,5,5.02862
8.575,0,-2.77556e-17,5,5
8.575,0,0,5,5
8.91886,0.519282,0.304623,5.18242,5.04939
9.31368,0.677809,0.0902483,5.06462,5.10437
8.77302,0.106493,0,5,5.02862
8.575,0,0,5,5
8.575,0,0,5,5
8.9501,0,0.395609,5.03543,5.0538
8.74116,0.0491299,0.0903875,5,5.02405
8.575,0,0,5,5
8.575,0,2.77556e-17,5,5
8.575,0,0,5,5
8.68263,0,0.0903997,5,5.01562
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
