E,F_x,F_y,T,Tr
8.40798,-0.0535406,0.0191782,5.0289,4.97547
8.81509,0.0674516,-0.17629,5.04525,5.03464
8.80387,0.10148,-0.099543,5.01427,5.03303
8.6102,0.0181093,-0.000820996,5,5.00512
8.575,0,0,5,5
7.20509,-1.14553,0.147664,4.84763,4.78709
8.35589,-0.180543,-0.0989373,5.06227,4.96775
9.03045,0.148248,-0.0532341,5.06356,5.06511
8.63785,0.0126929,-0.000383284,5.00313,5.00914
8.57691,0.00102779,0,5,5.00028
7.20788,-1.14554,-0.145601,4.84697,4.78755
8.34647,-0.181372,0.106015,5.06227,4.96635
9.03385,0.148243,0.0514131,5.06356,5.06559
8.63848,0.0122985,0.000218796,5.00313,5.00923
8.5769,0.00102188,0,5,5.00028
8.42816,-0.0498625,-0.0401374,5.02953,4.97846
8.7976,0.0644216,0.200799,5.04237,5.03214
8.80566,0.0514412,0.0672767,5.01427,5.03329
8.58483,0.00224306,0.000225245,5,5.00143
8.575,0,0,5,5
8.72031,-0.0130256,0.183998,5.02785,5.02105
8.75239,0.0479763,0.11536,5.01258,5.02566
8.63022,0.0216398,0.0247439,5,5.00803
8.575,0,0,5,5
8.575,0,0,5,5
