E,F_x,F_y,T,Tr
8.9482,0.0318067,-0.302039,5.02578,5.05354
8.63135,0.0106343,0.000584999,4.97037,5.00819
8.40218,-0.0992173,0.0707072,4.98132,4.97461
8.563,-0.0236021,0.00138779,5.01211,4.99825
8.61696,0.0194826,0.00044254,5.00625,5.00611
8.92564,0.415724,-0.285395,5.18703,5.05035
9.21139,0.599726,-0.0554488,5.04134,5.09029
8.4985,0.0296207,0.0343793,4.95169,4.98881
8.56217,-0.0104202,0.000806325,5.00281,4.99813
8.60006,0.00081488,0.000553861,5,5.00365
8.92112,0.413361,0.286309,5.18707,5.04971
9.2282,0.599717,0.039613,5.04405,5.09261
8.50657,0.0314728,-0.0382276,4.95273,4.98999
8.56068,-0.0101039,-6.45186e-05,5.00286,4.99791
8.59449,0.000604316,4.28143e-05,5,5.00284
8.93193,0.0197582,0.32928,5.02362,5.05124
8.6396,0.0035365,-0.00997173,4.97752,5.00939
8.40482,-0.0435663,-0.0573301,4.98433,4.97501
8.59407,-0.00290438,-0.000120254,5.00487,5.00278
8.59423,0.000770634,0.00318203,5,5.0028
8.61027,0.00864854,-0.0144979,4.97745,5.00513
8.45747,-0.0527268,-0.0759025,4.98313,4.98278
8.51623,-0.0293783,-0.0206823,5.00648,4.99141
8.61706,0.0113374,0.000492554,5.00193,5.00612
8.60324,0.00797038,0.00542525,5.00023,5.00411
