E,F_x,F_y,T,Tr
8.96435,0.0191165,-0.310046,5.02694,5.05582
8.63872,-0.00533971,-0.0141765,4.97205,5.00926
8.41015,-0.108418,0.0529674,4.9844,4.97579
8.58025,-0.0168901,0.00227186,5.01432,5.00077
8.63046,0.0450523,0.0126195,5.0059,5.00806
8.97101,0.420363,-0.293875,5.19056,5.05675
9.21922,0.579019,-0.0646359,5.04177,5.09137
8.49668,0.0177064,0.0280876,4.9538,4.98854
8.59054,-0.0100806,0.001,5.00767,5.00226
8.60538,0.00382783,0.00839305,5,5.00442
8.96684,0.415378,0.285914,5.1909,5.05617
9.23541,0.576458,0.0378296,5.04493,5.09361
8.50694,0.0194813,-0.0398752,4.9558,4.99005
8.58328,-0.0093343,0.000170936,5.00679,5.00121
8.59021,0.00398091,0.00280625,5,5.00222
8.94905,-0.00191968,0.335854,5.02567,5.05366
8.64511,-0.0196755,0.000922873,4.98003,5.01019
8.41243,-0.0512836,-0.052302,4.98818,4.97613
8.6109,-0.00197638,-0.000443862,5.00736,5.00522
8.59127,0.00301208,-0.000836655,5,5.00237
8.62199,-0.00399177,-0.00405512,4.97905,5.00684
8.47003,-0.0624016,-0.0546758,4.98625,4.98463
8.53402,-0.0272587,-0.00208561,5.01095,4.99402
8.64061,0.0225075,-0.00107793,5.00809,5.00954
8.6128,0.0304725,-0.00267042,5,5.0055
