E,F_x,F_y,T,Tr
8.38715,-0.00938821,0.246431,4.94549,4.97239
8.32063,-0.107349,0.130668,4.99236,4.9625
8.62366,0.0221175,-0.0298506,5.02618,5.00708
8.65988,0.0371352,-0.00216392,5.00464,5.01233
8.58986,-0.0061032,-0.00862729,4.99829,5.00216
9.59764,0.722461,0.12301,4.9512,5.14283
8.23719,-0.43938,0.139379,4.90472,4.95001
8.32649,-0.180699,0.00110189,5.01133,4.96337
8.61727,0.00255114,-0.000668677,5.00666,5.00615
8.58584,0.00117444,-0.00558799,5,5.00158
9.60253,0.727004,-0.129321,4.9518,5.14349
8.23989,-0.436879,-0.118116,4.90207,4.95042
8.32531,-0.18326,0.0011386,5.01005,4.9632
8.62132,0.00207235,0.000369923,5.00756,5.00674
8.5952,0.00126385,-0.000933805,5,5.00294
8.38794,0.00135771,-0.258404,4.94755,4.97251
8.36037,-0.105662,-0.143466,4.99076,4.96842
8.64017,-0.0102862,0.0229857,5.02525,5.00947
8.60029,0.00391979,0.00122564,5.00164,5.00368
8.5892,-0.000752625,0.00274336,5,5.00207
8.41739,-0.021117,-0.120817,4.99535,4.97686
8.57903,0.00191253,0.014027,5.0175,5.00059
8.68327,0.0443443,0.0441934,5.00986,5.01571
8.58904,0.00464849,0.00183375,4.99571,5.00205
8.57261,-0.0176519,0.00366479,5.00023,4.99965
