E,F_x,F_y,T,Tr
8.40062,-0.0297469,0.0588875,5.0285,4.97438
8.78026,0.0859754,-0.125465,5.03743,5.02966
8.71173,0.0618306,-0.0370997,4.99412,5.01981
8.53177,-0.0241161,-0.0016317,4.99046,4.99369
8.56328,-0.0268333,0.00117497,5.00625,4.99829
7.22751,-1.13495,0.165594,4.84662,4.79081
8.2849,-0.166817,-0.0781004,5.04989,4.95716
8.90309,0.14369,-0.0332207,5.03617,5.04716
8.5928,0.00639924,-0.00088402,4.99815,5.00259
8.59349,-0.00224347,0.00126171,5,5.00269
7.22643,-1.13685,-0.15426,4.84577,4.79063
8.2649,-0.169584,0.0793976,5.04948,4.95417
8.89511,0.143746,0.0362635,5.03625,5.04602
8.59713,0.00648101,-0.000234316,4.99825,5.00322
8.59312,-0.00190043,0.00137917,5,5.00264
8.41236,-0.024626,-0.0688676,5.02805,4.97612
8.7284,0.0964738,0.152047,5.0314,5.02221
8.68685,0.0486894,0.0316543,4.99115,5.01623
8.57451,-0.00232335,-0.000364554,5.00041,4.99993
8.59444,-0.000688486,-0.00106119,5,5.00283
8.70298,0.00547308,0.136,5.02336,5.01855
8.69577,0.0410968,0.0627147,5.00013,5.01751
8.53919,-0.02785,-0.0273273,4.98547,4.99477
8.54559,-0.0250311,-0.000393291,5.00193,4.99571
8.59077,-0.000776483,-0.000434061,5.00023,5.0023
