E,F_x,F_y,T,Tr
8.75912,0.0252779,-0.0596349,4.97237,5.02663
8.37917,-0.0920757,0.128329,4.96252,4.97121
8.44759,-0.0721779,0.0405607,5.00709,4.98132
8.63746,0.0168378,0.000516317,5.01232,5.00908
8.61514,0.0175229,-0.00583454,4.99829,5.00584
9.92371,1.12341,-0.164934,5.14273,5.18597
8.87707,0.169153,0.0800267,4.94998,5.04346
8.25386,-0.145927,0.0348573,4.9634,4.95251
8.58456,-0.007258,0.000531765,5.00615,5.00139
8.58913,0.0018824,-0.00348218,5,5.00206
9.92436,1.12536,0.157383,5.14339,5.18606
8.8967,0.171858,-0.077466,4.95039,5.04625
8.26111,-0.146276,-0.0367811,4.96323,4.9536
8.58431,-0.00737552,0.000261283,5.00674,5.00136
8.59105,0.00170635,-0.00105799,5,5.00234
8.74517,0.0223913,0.0731571,4.97249,5.02462
8.42822,-0.0987927,-0.151895,4.96843,4.97846
8.46859,-0.051519,-0.0335637,5.00948,4.98442
8.60156,0.00155528,0.000729525,5.00368,5.00387
8.58695,0.000194675,0.00401547,5,5.00174
8.45317,-0.00971984,-0.134976,4.97688,4.98215
8.4602,-0.0476972,-0.0634664,5.0006,4.98318
8.62006,0.0188171,0.0242553,5.0157,5.00656
8.62246,0.0188951,0.00139049,5.00204,5.0069
8.58556,-0.00708138,0.0062126,5.00023,5.00154
