[0x00002d48] | DtManager            | INFO  | 2020-07-21 12:29:18,141 | Dt Data Handler Thread Started
[0x00004414] | DtManager            | INFO  | 2020-07-21 12:29:18,141 | Dt Worker Thread Started
[0x000042fc] | DtManager            | INFO  | 2020-07-21 12:29:18,142 | Dt Worker Thread Started
[0x00004e68] | DtManager            | INFO  | 2020-07-21 12:29:18,142 | Dt Worker Thread Started
[0x00002680] | DtManager            | INFO  | 2020-07-21 12:29:18,142 | Dt Worker Thread Started
[0x0000089c] | DtManager            | INFO  | 2020-07-21 12:29:18,142 | Dt Worker Thread Started
[0x000016f4] | DtManager            | INFO  | 2020-07-21 12:29:18,142 | Dt Worker Thread Started
[0x000043f4] | DtManager            | INFO  | 2020-07-21 12:29:18,142 | Dt Worker Thread Started
[0x00004ebc] | DtManager            | INFO  | 2020-07-21 12:29:18,143 | Dt Worker Thread Started
[0x00001598] | DtManager            | INFO  | 2020-07-21 12:29:18,143 | Dt Worker Thread Started
[0x0000214c] | DtManager            | INFO  | 2020-07-21 12:29:18,143 | Dt Worker Thread Started
[0x00003864] | DtManager            | INFO  | 2020-07-21 12:29:18,143 | Dt Worker Thread Started
[0x00002f70] | DtManager            | INFO  | 2020-07-21 12:29:18,144 | Dt Worker Thread Started
[0x00002e6c] | DtManager            | INFO  | 2020-07-21 12:29:18,144 | Dt Worker Thread Started
[0x0000444c] | DtManager            | INFO  | 2020-07-21 12:29:18,144 | Dt Worker Thread Started
[0x000047bc] | DtManager            | INFO  | 2020-07-21 12:29:18,144 | Dt Worker Thread Started
[0x00001cd8] | DtManager            | INFO  | 2020-07-21 12:29:18,144 | Dt Worker Thread Started
[0x00002424] | DtManager            | INFO  | 2020-07-21 12:29:18,145 | Dt Worker Thread Started
[0x00005158] | DtManager            | INFO  | 2020-07-21 12:29:18,145 | Dt Worker Thread Started
[0x000011d4] | GPUManager           | INFO  | 2020-07-21 12:29:18,146 | Let There Be CUDA Light!
[0x000026b4] | DbCommon2            | INFO  | 2020-07-21 12:29:18,149 | Loading dblist file: C:\Users\Roussel\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\dblist.conf
[0x000011d4] | GPUManager           | INFO  | 2020-07-21 12:29:18,155 | Board manager thread id 0xc05fe960 policy 0 priority 0
[0x00001cb0] | GPUManager           | INFO  | 2020-07-21 12:29:18,156 | Initializing GPU board 0 with context thread 0
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,430 | Using DNxHR library v2.5.2.68r
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,474 | Kdu ctx(0), bundle(0), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,475 | Kdu ctx(0), bundle(1), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,475 | Kdu ctx(0), bundle(2), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,475 | Kdu ctx(0), bundle(3), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,475 | Kdu ctx(0), bundle(4), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,475 | Kdu ctx(0), bundle(5), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,475 | Kdu ctx(0), bundle(6), thds(1)
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:18,476 | Kdu ctx(0), bundle(7), thds(1)
[0x00001cb0] | GPUManager           | INFO  | 2020-07-21 12:29:18,822 | Setting channel cache size on GPU board 0 to 4
[0x00001cb0] | GPUManager           | INFO  | 2020-07-21 12:29:18,822 | Board manager 0 on thread 0 initialization done on GPU GeForce GTX 1060
[0x00001cb0] | GPUManager           | INFO  | 2020-07-21 12:29:18,823 | Entering loop to wait for commands
[0x000011d4] | GPUManager           | INFO  | 2020-07-21 12:29:18,823 | Finished initializing CUDA board 0 <GeForce GTX 1060> on platform <Nvidia CUDA GPU> clock rate <1670500> multiprocessor count <10> global mem size (MB) 6144, available mem size (MB) 5071, shared mem size (KB) 48, on SBM[0|0]
[0x000011d4] | GPUManager           | INFO  | 2020-07-21 12:29:18,823 | Hired CUDA board 0 <GeForce GTX 1060>
[0x00002bc8] | SyManager            | WARN  | 2020-07-21 12:29:20,143 | socket failed to connect to server, error: 10061

[0x00002bc8] | SyManager            | ERROR | 2020-07-21 12:29:20,143 | DRIVER: panel connection failed
[0x000026b4] | Fairlight            | INFO  | 2020-07-21 12:29:26,268 | 00.00.06.786(000): Running Fairlight (r000775-55722853)
[0x000026b4] | UI.GLContext         | INFO  | 2020-07-21 12:29:26,363 | Creating shared OpenGL context for this thread (2 total).
[0x000026b4] | UI.GLContext         | INFO  | 2020-07-21 12:29:26,412 | Initialized OpenGL 4.6 (requested 2.0) on device 'NVIDIA Corporation GeForce GTX 1060/PCIe/SSE2'
[0x000011d4] | UI.GLInterop         | INFO  | 2020-07-21 12:29:26,412 | OpenGL interop was initialized.
[0x000011d4] | GPUManager           | INFO  | 2020-07-21 12:29:26,412 | Let There Be CUDA Light, Done!!
[0x000011d4] | GPUManager           | INFO  | 2020-07-21 12:29:26,627 | Using CUDA Pinned Memory!
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:27,007 | Fusion Build: r067060-93f72f0c_006 (Jun  5 2020 13:11:19)
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:27,007 | fusionsystem: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\fusionsystem.dll"
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:27,172 | FusionLibs: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\"
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:27,172 | UserData:   = "C:\Users\Roussel\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Support\Fusion"
