x,E_0, E,E_exact
0.429,8.575,21.1287,0
0.431,8.575,21.1281,0
0.433,8.575,21.1275,0
0.435,8.575,21.127,0
0.437,8.575,21.1264,0
0.439,8.575,21.1258,0
0.441,8.575,21.1252,0
0.443,8.575,21.1246,0
0.445,8.575,21.1241,0
0.447,8.575,21.1235,0
0.449,8.575,21.1229,0
0.451,8.575,21.1223,0
0.453,8.575,21.1218,0
0.455,8.575,21.1212,0
0.457,8.575,21.1206,0
0.459,8.575,21.12,0
0.461,8.575,21.1194,0
0.463,8.575,21.1189,0
0.465,8.575,21.1183,0
0.467,8.575,21.1177,0
0.469,8.575,21.1171,0
0.471,8.575,21.1166,0
0.473,8.575,21.116,0
0.475,8.575,21.1154,0
0.477,8.575,21.1148,0
0.479,8.575,21.1143,0
0.481,8.575,21.1137,0
0.483,8.575,21.1131,0
0.485,8.575,21.1126,0
0.487,8.575,21.112,0
0.489,8.575,21.1114,0
0.491,8.575,21.1108,0
0.493,8.575,21.1102,0
0.495,8.575,21.1097,0
0.497,8.575,21.1091,0
0.499,8.575,21.1085,0
0.501,8.575,21.1079,0
0.503,8.575,21.1074,0
0.505,8.575,21.1068,0
0.507,8.575,21.1062,0
0.509,8.575,21.1056,0
0.511,8.575,21.1051,0
0.513,8.575,21.1045,0
0.515,8.575,21.1039,0
0.517,8.575,21.1034,0
0.519,8.575,21.1028,0
0.521,8.575,21.1022,0
0.523,8.575,21.1016,0
0.525,8.575,21.1011,0
0.527,8.575,21.1005,0
0.529,8.575,21.0999,0
0.531,8.575,21.0993,0
0.533,8.575,21.0987,0
0.535,8.575,21.0982,0
0.537,8.575,21.0976,0
0.539,8.575,21.097,0
0.541,8.575,21.0964,0
0.543,8.575,21.0958,0
0.545,8.575,21.0953,0
0.547,8.575,21.0947,0
0.549,8.575,21.0941,0
0.551,8.575,21.0935,0
0.553,8.575,21.093,0
0.555,8.575,21.0924,0
0.557,8.575,21.0918,0
0.559,8.575,21.0912,0
0.561,8.575,21.0906,0
0.563,8.575,21.0901,0
0.565,8.575,21.0895,0
0.567,8.575,21.0889,0
0.569,8.575,21.0883,0
0.571,8.575,21.0878,0
0.573,8.575,21.0872,0
0.575,8.575,21.0866,0
0.577,8.575,21.086,0
0.579,8.575,21.0855,0
0.581,8.575,21.0849,0
0.583,8.575,21.0843,0
0.585,8.575,21.0837,0
0.587,8.575,21.0832,0
0.589,8.575,21.0826,0
0.591,8.575,21.082,0
0.593,8.575,21.0814,0
0.595,8.575,21.0809,0
0.597,8.575,21.0803,0
0.599,8.575,21.0797,0
0.601,8.575,21.0791,0
0.603,8.575,21.0786,0
0.605,8.575,21.078,0
0.607,8.575,21.0774,0
0.609,8.575,21.0768,0
0.611,8.575,21.0763,0
0.613,8.575,21.0757,0
0.615,8.575,21.0751,0
0.617,8.575,21.0745,0
0.619,8.575,21.0739,0
0.621,8.575,21.0733,0
0.623,8.575,21.0727,0
0.625,8.575,21.072,0
0.627,8.575,21.0711,0
0.629,8.575,21.0699,0
0.631,8.575,21.0681,0
0.633,8.575,21.0653,0
0.635,8.575,21.0608,0
0.637,8.575,21.0537,0
0.639,8.575,21.0431,0
0.641,8.575,21.0277,0
0.643,8.575,21.0062,0
0.645,8.575,20.9776,0
0.647,8.575,20.9409,0
0.649,8.575,20.8957,0
0.651,8.575,20.842,0
0.653,8.575,20.7804,0
0.655,8.575,20.7116,0
0.657,8.575,20.6368,0
0.659,8.575,20.5573,0
0.661,8.575,20.4744,0
0.663,8.575,20.3891,0
0.665,8.575,20.3022,0
0.667,8.575,20.2143,0
0.669,8.575,20.126,0
0.671,8.575,20.0375,0
0.673,8.575,19.9488,0
0.675,8.575,19.8603,0
0.677,8.575,19.7717,0
0.679,8.575,19.6833,0
0.681,8.575,19.595,0
0.683,8.575,19.5068,0
0.685,8.575,19.4186,0
0.687,8.575,19.3306,0
0.689,8.575,19.2427,0
0.691,8.575,19.1549,0
0.693,8.575,19.0672,0
0.695,8.575,18.9796,0
0.697,8.575,18.8921,0
0.699,8.575,18.8048,0
0.701,8.575,18.7175,0
0.703,8.575,18.6303,0
0.705,8.575,18.5433,0
0.707,8.575,18.4563,0
0.709,8.575,18.3695,0
0.711,8.575,18.2828,0
0.713,8.575,18.1961,0
0.715,8.575,18.1096,0
0.717,8.575,18.0232,0
0.719,8.575,17.9369,0
0.721,8.575,17.8507,0
0.723,8.575,17.7647,0
0.725,8.575,17.6788,0
0.727,8.575,17.593,0
0.729,8.575,17.5076,0
0.731,8.575,17.4225,0
0.733,8.575,17.3382,0
0.735,8.575,17.2549,0
0.737,8.575,17.1733,0
0.739,8.575,17.0942,0
0.741,8.575,17.0186,0
0.743,8.575,16.9477,0
0.745,8.575,16.8825,0
0.747,8.575,16.8241,0
0.749,8.575,16.7734,0
0.751,8.575,16.7308,0
0.753,8.575,16.6963,0
0.755,8.575,16.6694,0
0.757,8.575,16.6492,0
0.759,8.575,16.6347,0
0.761,8.575,16.6248,0
0.763,8.575,16.6182,0
0.765,8.575,16.614,0
0.767,8.575,16.6113,0
0.769,8.575,16.6097,0
0.771,8.575,16.6086,0
0.773,8.575,16.6077,0
0.775,8.575,16.6071,0
0.777,8.575,16.6065,0
0.779,8.575,16.606,0
0.781,8.575,16.6055,0
0.783,8.575,16.605,0
0.785,8.575,16.6044,0
0.787,8.575,16.6039,0
0.789,8.575,16.6034,0
0.791,8.575,16.6029,0
0.793,8.575,16.6024,0
0.795,8.575,16.6019,0
