x,T_radiation,T_matter
0.457,5.06095,5.05635
0.459,5.06503,5.06052
0.461,5.06892,5.06452
0.463,5.07264,5.06835
0.465,5.07618,5.072
0.467,5.07953,5.07546
0.469,5.08269,5.07875
0.471,5.08566,5.08184
0.473,5.08843,5.08474
0.475,5.09101,5.08746
0.477,5.0934,5.08998
0.479,5.09559,5.0923
0.481,5.09758,5.09443
0.483,5.09937,5.09636
0.485,5.10096,5.09809
0.487,5.10235,5.09962
0.489,5.10354,5.10096
0.491,5.10453,5.1021
0.493,5.10533,5.10305
0.495,5.10593,5.1038
0.497,5.10633,5.10435
0.499,5.10655,5.10471
0.501,5.10656,5.10488
0.503,5.10639,5.10487
0.505,5.10604,5.10466
0.507,5.1055,5.10427
0.509,5.10477,5.1037
0.511,5.10387,5.10295
0.513,5.10279,5.10202
0.515,5.10155,5.10092
0.517,5.10039,5.09965
0.519,5.09854,5.09821
0.521,5.09666,5.09661
0.523,5.09475,5.09485
0.525,5.09281,5.09294
0.527,5.09022,5.09088
0.529,5.08826,5.08867
0.531,5.08577,5.08632
0.533,5.08315,5.08384
0.535,5.08039,5.08123
0.537,5.07751,5.07848
0.539,5.07452,5.07562
0.541,5.07141,5.07265
0.543,5.06819,5.06956
0.545,5.06487,5.06637
0.547,5.06145,5.06308
0.549,5.05794,5.0597
0.551,5.05435,5.05623
0.553,5.05069,5.05268
0.555,5.04695,5.04906
0.557,5.04314,5.04537
0.559,5.03928,5.04162
0.561,5.03537,5.03781
0.563,5.03141,5.03396
0.565,5.02741,5.03007
0.567,5.02339,5.02614
0.569,5.01934,5.02218
0.571,5.01527,5.0182
0.573,5.01119,5.01421
0.575,5.00711,5.01021
0.577,5.00303,5.0062
0.579,4.99896,5.00221
0.581,4.99491,4.99822
0.583,4.99088,4.99425
0.585,4.98688,4.99031
0.587,4.98291,4.98639
0.589,4.97898,4.98249
0.591,4.97508,4.97864
0.593,4.97123,4.97481
0.595,4.96743,4.97103
0.597,4.96369,4.9673
0.599,4.96002,4.96361
0.601,4.95642,4.96
0.603,4.95293,4.95647
0.605,4.94956,4.95304
0.607,4.94635,4.94975
0.609,4.94333,4.94664
0.611,4.94053,4.94373
0.613,4.93801,4.94107
0.615,4.93579,4.9387
0.617,4.93392,4.93666
0.619,4.93241,4.93496
0.621,4.93129,4.93364
0.623,4.93056,4.9327
0.625,4.93022,4.93215
0.627,4.93026,4.93197
0.629,4.93066,4.93215
0.631,4.93139,4.93266
0.633,4.93243,4.93349
0.635,4.93375,4.9346
0.637,4.93531,4.93597
0.639,4.93709,4.93756
0.641,4.93906,4.93935
0.643,4.9412,4.94131
0.645,4.94347,4.94343
0.647,4.94587,4.94567
0.649,4.94835,4.94802
0.651,4.95092,4.95046
0.653,4.95354,4.95297
0.655,4.95621,4.95553
0.657,4.95891,4.95813
