t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0.000754916,28.5739,8.64312,8.575,8.575
0.000761538,28.5739,8.64376,8.575,8.575
0.000768161,28.5739,8.64431,8.575,8.575
0.000774783,28.5739,8.64495,8.575,8.575
0.000781405,28.5739,8.6455,8.575,8.575
0.000788027,28.5739,8.64614,8.575,8.575
0.000794649,28.5739,8.6467,8.575,8.575
0.000801271,28.5739,8.64733,8.575,8.575
0.000807893,28.5739,8.64789,8.575,8.575
0.000814515,28.5739,8.64852,8.575,8.575
0.000821137,28.5739,8.64908,8.575,8.575
0.000827759,28.5739,8.64971,8.575,8.575
0.000834381,28.5739,8.65026,8.575,8.575
0.000841003,28.5739,8.65089,8.575,8.575
0.000847625,28.5739,8.65145,8.575,8.575
0.000854247,28.5739,8.65208,8.575,8.575
0.00086087,28.5739,8.65264,8.575,8.575
0.000867492,28.5739,8.65326,8.575,8.575
0.000874114,28.5739,8.65382,8.575,8.575
0.000880736,28.5739,8.65445,8.575,8.575
0.000887358,28.5739,8.65501,8.575,8.575
0.00089398,28.5739,8.65563,8.575,8.575
0.000900602,28.5739,8.6562,8.575,8.575
0.000907224,28.5739,8.65682,8.575,8.575
0.000913846,28.5739,8.65738,8.575,8.575
0.000920468,28.5739,8.658,8.575,8.575
0.00092709,28.5739,8.65857,8.575,8.575
0.000933712,28.5739,8.65919,8.575,8.575
0.000940334,28.5739,8.65975,8.575,8.575
0.000946957,28.5739,8.66037,8.575,8.575
0.000953579,28.5739,8.66093,8.575,8.575
0.000960201,28.5739,8.66155,8.575,8.575
0.000966823,28.5739,8.66212,8.575,8.575
0.000973445,28.5739,8.66273,8.575,8.575
0.000980067,28.5739,8.6633,8.575,8.575
0.000986689,28.5739,8.66392,8.575,8.575
0.000993311,28.5739,8.66449,8.575,8.575
0.000999933,28.5739,8.6651,8.575,8.575
0.00100656,28.5739,8.66567,8.575,8.575
0.00101318,28.5739,8.66628,8.575,8.575
0.0010198,28.5739,8.66685,8.575,8.575
0.00102642,28.5739,8.66746,8.575,8.575
0.00103304,28.5739,8.66803,8.575,8.575
0.00103967,28.5739,8.66864,8.575,8.575
0.00104629,28.5739,8.66921,8.575,8.575
0.00105291,28.5739,8.66982,8.575,8.575
0.00105953,28.5739,8.67039,8.575,8.575
0.00106615,28.5739,8.671,8.575,8.575
0.00107278,28.5739,8.67158,8.575,8.575
0.0010794,28.5739,8.67218,8.575,8.575
0.00108602,28.5739,8.67276,8.575,8.575
0.00109264,28.5739,8.67336,8.575,8.575
0.00109926,28.5739,8.67394,8.575,8.575
0.00110589,28.5739,8.67454,8.575,8.575
0.00111251,28.5739,8.67511,8.575,8.575
0.00111913,28.5739,8.67572,8.575,8.575
0.00112575,28.5739,8.67629,8.575,8.575
0.00113237,28.5739,8.6769,8.575,8.575
0.001139,28.5739,8.67747,8.575,8.575
0.00114562,28.5739,8.67808,8.575,8.575
0.00115224,28.5739,8.67865,8.575,8.575
0.00115886,28.5739,8.67925,8.575,8.575
