x, E, F, T
6.225, 9.44528e-08, 9.44528e-08, 1
6.235, 1.0554e-07, 1.0554e-07, 1
6.245, 1.17882e-07, 1.17882e-07, 1
6.255, 1.31615e-07, 1.31615e-07, 1
6.265, 1.46888e-07, 1.46888e-07, 1
6.275, 1.63869e-07, 1.63869e-07, 1
6.285, 1.8274e-07, 1.8274e-07, 1
6.295, 2.03703e-07, 2.03703e-07, 1
6.305, 2.26979e-07, 2.26979e-07, 1
6.315, 2.52815e-07, 2.52815e-07, 1
6.325, 2.81478e-07, 2.81478e-07, 1
6.335, 3.13267e-07, 3.13267e-07, 1
6.345, 3.48506e-07, 3.48506e-07, 1
6.355, 3.87554e-07, 3.87554e-07, 1
6.365, 4.30806e-07, 4.30806e-07, 1
6.375, 4.78693e-07, 4.78693e-07, 1
6.385, 5.31691e-07, 5.31691e-07, 1
6.395, 5.90321e-07, 5.90321e-07, 1
6.405, 6.55154e-07, 6.55154e-07, 1
6.415, 7.26818e-07, 7.26818e-07, 1
6.425, 8.05998e-07, 8.05998e-07, 1
6.435, 8.93448e-07, 8.93448e-07, 1
6.445, 9.8999e-07, 9.8999e-07, 1
6.455, 1.09653e-06, 1.09653e-06, 1
6.465, 1.21404e-06, 1.21404e-06, 1
6.475, 1.34362e-06, 1.34362e-06, 1
6.485, 1.48643e-06, 1.48643e-06, 1
6.495, 1.64376e-06, 1.64376e-06, 1
6.505, 1.81702e-06, 1.81702e-06, 1
6.515, 2.00774e-06, 2.00774e-06, 1
6.525, 2.21759e-06, 2.21759e-06, 1
6.535, 2.4484e-06, 2.4484e-06, 1
6.545, 2.70216e-06, 2.70216e-06, 1
6.555, 2.98102e-06, 2.98102e-06, 1
6.565, 3.28735e-06, 3.28735e-06, 1
6.575, 3.62371e-06, 3.62371e-06, 1
6.585, 3.99289e-06, 3.99289e-06, 1
6.595, 4.39793e-06, 4.39793e-06, 1
6.605, 4.84212e-06, 4.84212e-06, 1
6.615, 5.32904e-06, 5.32904e-06, 1
6.625, 5.86259e-06, 5.86259e-06, 1
6.635, 6.44698e-06, 6.44698e-06, 1
6.645, 7.08679e-06, 7.08679e-06, 1
6.655, 7.78699e-06, 7.78699e-06, 1
6.665, 8.55296e-06, 8.55296e-06, 1
6.675, 9.39052e-06, 9.39052e-06, 1
6.685, 1.0306e-05, 1.0306e-05, 1
6.695, 1.13062e-05, 1.13062e-05, 1
6.705, 1.23985e-05, 1.23985e-05, 1
6.715, 1.35909e-05, 1.35909e-05, 1
6.725, 1.48921e-05, 1.48921e-05, 1
6.735, 1.63113e-05, 1.63113e-05, 1
6.745, 1.78586e-05, 1.78586e-05, 1
6.755, 1.95449e-05, 1.95449e-05, 1
6.765, 2.13819e-05, 2.13819e-05, 1
6.775, 2.33822e-05, 2.33822e-05, 1
6.785, 2.55594e-05, 2.55594e-05, 1
6.795, 2.79282e-05, 2.79282e-05, 1
6.805, 3.05044e-05, 3.05044e-05, 1
6.815, 3.33048e-05, 3.33048e-05, 1
6.825, 3.63479e-05, 3.63479e-05, 1
6.835, 3.96532e-05, 3.96532e-05, 1
6.845, 4.32418e-05, 4.32418e-05, 1
6.855, 4.71363e-05, 4.71363e-05, 1
6.865, 5.1361e-05, 5.1361e-05, 1
6.875, 5.59421e-05, 5.59421e-05, 1
6.885, 6.09074e-05, 6.09074e-05, 1
6.895, 6.6287e-05, 6.6287e-05, 1
6.905, 7.21129e-05, 7.21129e-05, 1
6.915, 7.84196e-05, 7.84196e-05, 1
6.925, 8.52437e-05, 8.52437e-05, 1
6.935, 9.26247e-05, 9.26247e-05, 1
6.945, 0.000100605, 0.000100605, 1
6.955, 0.000109228, 0.000109228, 1
6.965, 0.000118544, 0.000118544, 1
6.975, 0.000128603, 0.000128603, 1
6.985, 0.00013946, 0.00013946, 1
6.995, 0.000151172, 0.000151172, 1
7.005, 0.000163803, 0.000163803, 1
7.015, 0.000177419, 0.000177419, 1
7.025, 0.00019209, 0.00019209, 1
7.035, 0.00020789, 0.00020789, 1
7.045, 0.000224901, 0.000224901, 1
7.055, 0.000243206, 0.000243206, 1
7.065, 0.000262896, 0.000262896, 1
7.075, 0.000284067, 0.000284067, 1
7.085, 0.000306821, 0.000306821, 1
7.095, 0.000331264, 0.000331264, 1
7.105, 0.000357512, 0.000357512, 1
7.115, 0.000385686, 0.000385686, 1
7.125, 0.000415914, 0.000415914, 1
7.135, 0.000448332, 0.000448332, 1
7.145, 0.000483083, 0.000483083, 1
7.155, 0.000520321, 0.000520321, 1
7.165, 0.000560205, 0.000560205, 1
7.175, 0.000602906, 0.000602906, 1
7.185, 0.000648603, 0.000648603, 1
7.195, 0.000697484, 0.000697484, 1
7.205, 0.00074975, 0.00074975, 1
7.215, 0.000805611, 0.000805611, 1
7.225, 0.000865289, 0.000865289, 1
7.235, 0.000929015, 0.000929015, 1
7.245, 0.000997037, 0.000997037, 1
7.255, 0.00106961, 0.00106961, 1
7.265, 0.00114701, 0.00114701, 1
7.275, 0.00122952, 0.00122952, 1
7.285, 0.00131744, 0.00131744, 1
7.295, 0.00141108, 0.00141108, 1
7.305, 0.00151078, 0.00151078, 1
7.315, 0.00161687, 0.00161687, 1
7.325, 0.00172972, 0.00172972, 1
7.335, 0.00184971, 0.00184971, 1
7.345, 0.00197724, 0.00197724, 1
7.355, 0.00211271, 0.00211271, 1
7.365, 0.00225656, 0.00225656, 1
7.375, 0.00240925, 0.00240925, 1
7.385, 0.00257124, 0.00257124, 1
7.395, 0.00274302, 0.00274302, 1
7.405, 0.00292512, 0.00292512, 1
7.415, 0.00311805, 0.00311805, 1
7.425, 0.00332239, 0.00332239, 1
7.435, 0.0035387, 0.0035387, 1
7.445, 0.00376759, 0.00376759, 1
7.455, 0.00400969, 0.00400969, 1
7.465, 0.00426564, 0.00426564, 1
7.475, 0.00453611, 0.00453611, 1
7.485, 0.00482181, 0.00482181, 1
7.495, 0.00512346, 0.00512346, 1
7.505, 0.00544181, 0.00544181, 1
7.515, 0.00577762, 0.00577762, 1
7.525, 0.00613171, 0.00613171, 1
7.535, 0.00650491, 0.00650491, 1
7.545, 0.00689806, 0.00689806, 1
7.555, 0.00731206, 0.00731206, 1
7.565, 0.0077478, 0.0077478, 1
7.575, 0.00820624, 0.00820624, 1
7.585, 0.00868833, 0.00868833, 1
7.595, 0.00919508, 0.00919508, 1
7.605, 0.00972749, 0.00972749, 1
7.615, 0.0102866, 0.0102866, 1
7.625, 0.0108735, 0.0108735, 1
7.635, 0.0114894, 0.0114894, 1
7.645, 0.0121352, 0.0121352, 1
7.655, 0.0128123, 0.0128123, 1
7.665, 0.0135217, 0.0135217, 1
7.675, 0.0142647, 0.0142647, 1
7.685, 0.0150425, 0.0150425, 1
7.695, 0.0158564, 0.0158564, 1
7.705, 0.0167077, 0.0167077, 1
7.715, 0.0175976, 0.0175976, 1
7.725, 0.0185275, 0.0185275, 1
7.735, 0.0194988, 0.0194988, 1
7.745, 0.0205129, 0.0205129, 1
7.755, 0.021571, 0.021571, 1
7.765, 0.0226747, 0.0226747, 1
7.775, 0.0238253, 0.0238253, 1
7.785, 0.0250243, 0.0250243, 1
7.795, 0.0262731, 0.0262731, 1
7.805, 0.0275733, 0.0275733, 1
7.815, 0.0289262, 0.0289262, 1
7.825, 0.0303335, 0.0303335, 1
7.835, 0.0317965, 0.0317965, 1
7.845, 0.0333167, 0.0333167, 1
7.855, 0.0348957, 0.0348957, 1
7.865, 0.0365349, 0.0365349, 1
7.875, 0.0382358, 0.0382358, 1
7.885, 0.04, 0.04, 1
7.895, 0.0418289, 0.0418289, 1
7.905, 0.0437239, 0.0437239, 1
7.915, 0.0456865, 0.0456865, 1
7.925, 0.0477182, 0.0477182, 1
7.935, 0.0498203, 0.0498203, 1
7.945, 0.0519942, 0.0519942, 1
7.955, 0.0542413, 0.0542413, 1
7.965, 0.056563, 0.056563, 1
7.975, 0.0589605, 0.0589605, 1
7.985, 0.061435, 0.061435, 1
7.995, 0.0639879, 0.0639879, 1
8.005, 0.0666202, 0.0666202, 1
8.015, 0.0693332, 0.0693332, 1
8.025, 0.0721278, 0.0721278, 1
8.035, 0.0750051, 0.0750051, 1
8.045, 0.077966, 0.077966, 1
8.055, 0.0810114, 0.0810114, 1
8.065, 0.0841422, 0.0841422, 1
8.075, 0.0873591, 0.0873591, 1
8.085, 0.0906628, 0.0906628, 1
8.095, 0.0940539, 0.0940539, 1
8.105, 0.0975328, 0.0975328, 1
8.115, 0.1011, 0.1011, 1
8.125, 0.104756, 0.104756, 1
8.135, 0.108501, 0.108501, 1
8.145, 0.112334, 0.112334, 1
8.155, 0.116257, 0.116257, 1
8.165, 0.120269, 0.120269, 1
8.175, 0.124369, 0.124369, 1
8.185, 0.128558, 0.128558, 1
8.195, 0.132835, 0.132835, 1
8.205, 0.137199, 0.137199, 1
8.215, 0.141651, 0.141651, 1
8.225, 0.146188, 0.146188, 1
8.235, 0.15081, 0.15081, 1
8.245, 0.155517, 0.155517, 1
8.255, 0.160306, 0.160306, 1
8.265, 0.165177, 0.165177, 1
8.275, 0.170127, 0.170127, 1
8.285, 0.175157, 0.175157, 1
8.295, 0.180262, 0.180262, 1
8.305, 0.185443, 0.185443, 1
8.315, 0.190696, 0.190696, 1
8.325, 0.19602, 0.19602, 1
8.335, 0.201412, 0.201412, 1
8.345, 0.20687, 0.20687, 1
8.355, 0.212391, 0.212391, 1
8.365, 0.217972, 0.217972, 1
8.375, 0.223611, 0.223611, 1
8.385, 0.229303, 0.229303, 1
8.395, 0.235047, 0.235047, 1
8.405, 0.240839, 0.240839, 1
8.415, 0.246674, 0.246674, 1
8.425, 0.25255, 0.25255, 1
8.435, 0.258463, 0.258463, 1
8.445, 0.264409, 0.264409, 1
8.455, 0.270383, 0.270383, 1
8.465, 0.276382, 0.276382, 1
8.475, 0.282402, 0.282402, 1
8.485, 0.288437, 0.288437, 1
8.495, 0.294484, 0.294484, 1
8.505, 0.300537, 0.300537, 1
8.515, 0.306592, 0.306592, 1
8.525, 0.312645, 0.312645, 1
8.535, 0.318689, 0.318689, 1
8.545, 0.324721, 0.324721, 1
8.555, 0.330735, 0.330735, 1
8.565, 0.336726, 0.336726, 1
8.575, 0.342688, 0.342688, 1
8.585, 0.348617, 0.348617, 1
8.595, 0.354506, 0.354506, 1
8.605, 0.360352, 0.360352, 1
8.615, 0.366147, 0.366147, 1
8.625, 0.371887, 0.371887, 1
8.635, 0.377566, 0.377566, 1
8.645, 0.383179, 0.383179, 1
8.655, 0.38872, 0.38872, 1
8.665, 0.394184, 0.394184, 1
8.675, 0.399565, 0.399565, 1
8.685, 0.404857, 0.404857, 1
8.695, 0.410056, 0.410056, 1
8.705, 0.415156, 0.415156, 1
8.715, 0.420152, 0.420152, 1
8.725, 0.425038, 0.425038, 1
8.735, 0.429809, 0.429809, 1
8.745, 0.43446, 0.43446, 1
8.755, 0.438986, 0.438986, 1
8.765, 0.443382, 0.443382, 1
8.775, 0.447643, 0.447643, 1
8.785, 0.451765, 0.451765, 1
8.795, 0.455742, 0.455742, 1
8.805, 0.459571, 0.459571, 1
8.815, 0.463248, 0.463248, 1
8.825, 0.466767, 0.466767, 1
8.835, 0.470125, 0.470125, 1
8.845, 0.473318, 0.473318, 1
8.855, 0.476343, 0.476343, 1
8.865, 0.479196, 0.479196, 1
8.875, 0.481873, 0.481873, 1
8.885, 0.484372, 0.484372, 1
8.895, 0.486689, 0.486689, 1
8.905, 0.488822, 0.488822, 1
8.915, 0.490768, 0.490768, 1
8.925, 0.492526, 0.492526, 1
8.935, 0.494092, 0.494092, 1
8.945, 0.495466, 0.495466, 1
8.955, 0.496644, 0.496644, 1
8.965, 0.497627, 0.497627, 1
8.975, 0.498413, 0.498413, 1
8.985, 0.499001, 0.499001, 1
8.995, 0.49939, 0.49939, 1
9.005, 0.499579, 0.499579, 1
9.015, 0.499569, 0.499569, 1
9.025, 0.49936, 0.49936, 1
9.035, 0.498952, 0.498952, 1
9.045, 0.498344, 0.498344, 1
9.055, 0.497539, 0.497539, 1
9.065, 0.496537, 0.496537, 1
9.075, 0.495339, 0.495339, 1
9.085, 0.493946, 0.493946, 1
9.095, 0.492361, 0.492361, 1
9.105, 0.490585, 0.490585, 1
9.115, 0.48862, 0.48862, 1
9.125, 0.486469, 0.486469, 1
9.135, 0.484134, 0.484134, 1
9.145, 0.481617, 0.481617, 1
9.155, 0.478922, 0.478922, 1
9.165, 0.476053, 0.476053, 1
9.175, 0.473011, 0.473011, 1
9.185, 0.469802, 0.469802, 1
9.195, 0.466427, 0.466427, 1
9.205, 0.462892, 0.462892, 1
9.215, 0.459201, 0.459201, 1
9.225, 0.455357, 0.455357, 1
9.235, 0.451365, 0.451365, 1
9.245, 0.447229, 0.447229, 1
9.255, 0.442954, 0.442954, 1
9.265, 0.438545, 0.438545, 1
9.275, 0.434007, 0.434007, 1
9.285, 0.429343, 0.429343, 1
9.295, 0.424561, 0.424561, 1
9.305, 0.419664, 0.419664, 1
9.315, 0.414658, 0.414658, 1
9.325, 0.409548, 0.409548, 1
9.335, 0.404339, 0.404339, 1
9.345, 0.399038, 0.399038, 1
9.355, 0.393648, 0.393648, 1
9.365, 0.388177, 0.388177, 1
9.375, 0.382628, 0.382628, 1
9.385, 0.377008, 0.377008, 1
9.395, 0.371323, 0.371323, 1
9.405, 0.365577, 0.365577, 1
9.415, 0.359776, 0.359776, 1
9.425, 0.353926, 0.353926, 1
9.435, 0.348033, 0.348033, 1
9.445, 0.3421, 0.3421, 1
9.455, 0.336135, 0.336135, 1
9.465, 0.330141, 0.330141, 1
9.475, 0.324125, 0.324125, 1
9.485, 0.318092, 0.318092, 1
9.495, 0.312046, 0.312046, 1
9.505, 0.305993, 0.305993, 1
9.515, 0.299938, 0.299938, 1
9.525, 0.293885, 0.293885, 1
9.535, 0.287839, 0.287839, 1
9.545, 0.281805, 0.281805, 1
9.555, 0.275787, 0.275787, 1
9.565, 0.26979, 0.26979, 1
9.575, 0.263818, 0.263818, 1
9.585, 0.257876, 0.257876, 1
9.595, 0.251966, 0.251966, 1
9.605, 0.246094, 0.246094, 1
9.615, 0.240262, 0.240262, 1
9.625, 0.234475, 0.234475, 1
9.635, 0.228736, 0.228736, 1
9.645, 0.223048, 0.223048, 1
9.655, 0.217415, 0.217415, 1
9.665, 0.21184, 0.21184, 1
9.675, 0.206325, 0.206325, 1
9.685, 0.200874, 0.200874, 1
9.695, 0.195488, 0.195488, 1
9.705, 0.190171, 0.190171, 1
9.715, 0.184925, 0.184925, 1
9.725, 0.179751, 0.179751, 1
9.735, 0.174653, 0.174653, 1
9.745, 0.169631, 0.169631, 1
9.755, 0.164688, 0.164688, 1
9.765, 0.159825, 0.159825, 1
9.775, 0.155044, 0.155044, 1
9.785, 0.150346, 0.150346, 1
9.795, 0.145732, 0.145732, 1
9.805, 0.141203, 0.141203, 1
9.815, 0.13676, 0.13676, 1
9.825, 0.132404, 0.132404, 1
9.835, 0.128136, 0.128136, 1
9.845, 0.123956, 0.123956, 1
9.855, 0.119864, 0.119864, 1
9.865, 0.115861, 0.115861, 1
9.875, 0.111947, 0.111947, 1
9.885, 0.108122, 0.108122, 1
9.895, 0.104386, 0.104386, 1
9.905, 0.100739, 0.100739, 1
9.915, 0.0971804, 0.0971804, 1
9.925, 0.0937102, 0.0937102, 1
9.935, 0.0903278, 0.0903278, 1
9.945, 0.0870327, 0.0870327, 1
9.955, 0.0838243, 0.0838243, 1
9.965, 0.080702, 0.080702, 1
9.975, 0.077665, 0.077665, 1
9.985, 0.0747124, 0.0747124, 1
9.995, 0.0718433, 0.0718433, 1
